direction,signal_time,entry_time,entry,sl,tp,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2005-02-04 00:00:00+00:00,2005-02-07 00:00:00+00:00,1.2855949401855469,1.264638100351606,1.3047694206237792,0.02095683983394081,2005-02-15 00:00:00+00:00,1.3047694206237792,BB mid TP,0.9057492135079755,6
short,2005-02-22 00:00:00+00:00,2005-02-23 00:00:00+00:00,1.3258028030395508,1.3458537374223982,1.2983942091464997,0.02005093438284744,2005-03-11 00:00:00+00:00,1.3458537374223982,SL,-1.0099182619951146,12
long,2005-03-23 00:00:00+00:00,2005-03-24 00:00:00+00:00,1.2992074489593506,1.2759294680186681,1.3259342014789581,0.023277980940682452,2005-05-12 00:00:00+00:00,1.2759294680186681,SL,-1.008371908106657,35
long,2005-05-13 00:00:00+00:00,2005-05-16 00:00:00+00:00,1.2606048583984375,1.2434177568980627,1.2913195073604584,0.017187101500374835,2005-05-31 00:00:00+00:00,1.2434177568980627,SL,-1.0110018974843222,11
short,2005-08-03 00:00:00+00:00,2005-08-04 00:00:00+00:00,1.233593225479126,1.2549687794276647,1.2101453721523285,0.02137555394853874,2005-09-02 00:00:00+00:00,1.2549687794276647,SL,-1.0086565702235062,21
long,2005-11-04 00:00:00+00:00,2005-11-07 00:00:00+00:00,1.18069326877594,1.1578600747244698,1.2014029920101166,0.022833194051470107,2005-12-14 00:00:00+00:00,1.2014029920101166,BB mid TP,0.8992442843334159,27
short,2005-12-16 00:00:00+00:00,2005-12-19 00:00:00+00:00,1.2036012411117554,1.2230889797210693,1.1826966941356658,0.019487738609313965,2005-12-21 00:00:00+00:00,1.1826966941356658,BB mid TP,1.0634382575317372,2
short,2006-01-04 00:00:00+00:00,2006-01-05 00:00:00+00:00,1.2114017009735107,1.2302020617893763,1.190715765953064,0.018800360815865558,2006-01-23 00:00:00+00:00,1.2302020617893763,SL,-1.0096652536047437,12
short,2006-03-02 00:00:00+00:00,2006-03-03 00:00:00+00:00,1.2037025690078735,1.2171054908207484,1.193605089187622,0.013402921812874835,2006-03-07 00:00:00+00:00,1.193605089187622,BB mid TP,0.7399076539694639,2
short,2006-03-15 00:00:00+00:00,2006-03-16 00:00:00+00:00,1.2072045803070068,1.2226680687495641,1.1945461332798004,0.015463488442557294,2006-04-04 00:00:00+00:00,1.2226680687495641,SL,-1.011710209356622,13
short,2006-04-18 00:00:00+00:00,2006-04-19 00:00:00+00:00,1.2367054224014282,1.25672333581107,1.2132059156894683,0.020017913409641874,2006-04-28 00:00:00+00:00,1.25672333581107,SL,-1.0092669904981637,7
long,2006-06-08 00:00:00+00:00,2006-06-09 00:00:00+00:00,1.2648941278457642,1.242282680102757,1.2811200022697449,0.02261144774300705,2006-07-03 00:00:00+00:00,1.2811200022697449,BB mid TP,0.7092044917717963,16
long,2006-09-08 00:00:00+00:00,2006-09-11 00:00:00+00:00,1.2672985792160034,1.252836091177804,1.2800727486610413,0.014462488038199384,2006-09-22 00:00:00+00:00,1.2800727486610413,BB mid TP,0.870118241406144,9
long,2006-10-06 00:00:00+00:00,2006-10-09 00:00:00+00:00,1.2590969800949097,1.2446816308157784,1.2706096053123475,0.01441534927913124,2006-10-27 00:00:00+00:00,1.2706096053123475,BB mid TP,0.7855349496676222,14
short,2006-11-23 00:00:00+00:00,2006-11-24 00:00:00+00:00,1.295202612876892,1.309672542980739,1.2804220855236053,0.014469930103846895,2006-11-27 00:00:00+00:00,1.3158068656921387,SL,-1.4373623823966317,1
long,2007-01-10 00:00:00+00:00,2007-01-11 00:00:00+00:00,1.2938953638076782,1.2783019031797136,1.312571746110916,0.015593460627964628,2007-02-14 00:00:00+00:00,1.312571746110916,BB mid TP,1.1852595417800573,24
short,2007-02-15 00:00:00+00:00,2007-02-16 00:00:00+00:00,1.3133012056350708,1.3273123332432337,1.2998229324817658,0.014011127608162921,2007-03-15 00:00:00+00:00,1.3273123332432337,SL,-1.0140599091204117,19
short,2007-03-16 00:00:00+00:00,2007-03-19 00:00:00+00:00,1.3320013284683228,1.3466148035866874,1.317993301153183,0.014613475118364638,2007-04-12 00:00:00+00:00,1.3466148035866874,SL,-1.0136723262367047,18
long,2007-06-08 00:00:00+00:00,2007-06-11 00:00:00+00:00,1.3362016677856445,1.324368647166661,1.3472506880760193,0.011833020618983614,2007-06-22 00:00:00+00:00,1.3472506880760193,BB mid TP,0.9168064849648494,9
short,2007-07-02 00:00:00+00:00,2007-07-03 00:00:00+00:00,1.3631964921951294,1.3746355601719447,1.3427953004837037,0.011439067976815265,2007-07-10 00:00:00+00:00,1.3746355601719447,SL,-1.0178755362100924,5
long,2007-08-14 00:00:00+00:00,2007-08-15 00:00:00+00:00,1.3533997535705566,1.3358817441122872,1.3729411363601685,0.017518009458269423,2007-09-07 00:00:00+00:00,1.3729411363601685,BB mid TP,1.103913824949301,17
short,2007-09-11 00:00:00+00:00,2007-09-12 00:00:00+00:00,1.3837957382202148,1.400896736553737,1.3598988473415374,0.017100998333522188,2007-09-20 00:00:00+00:00,1.400896736553737,SL,-1.01213785047427,6
short,2008-02-08 00:00:00+00:00,2008-02-11 00:00:00+00:00,1.4531927108764648,1.4943456649780273,1.4746567547321319,0.0411529541015625,2008-02-12 00:00:00+00:00,1.4746567547321319,BB mid TP,-0.5268643098813475,1
long,2008-05-02 00:00:00+00:00,2008-05-05 00:00:00+00:00,1.5434956550598145,1.5104986258915492,1.574921226501465,0.0329970291682653,2008-05-21 00:00:00+00:00,1.574921226501465,BB mid TP,0.9453592605055549,12
short,2008-07-02 00:00:00+00:00,2008-07-03 00:00:00+00:00,1.5880074501037598,1.6134094170161657,1.5593739807605744,0.025401966912405927,2008-07-08 00:00:00+00:00,1.5593739807605744,BB mid TP,1.1178373833642765,3
long,2008-08-08 00:00:00+00:00,2008-08-26 00:00:00+00:00,1.4619027376174927,1.4316000938415527,1.5707683444023133,0.03030264377593994,2008-09-04 00:00:00+00:00,1.4316000938415527,SL,-1.0072365108557535,7
long,2008-10-06 00:00:00+00:00,2008-10-07 00:00:00+00:00,1.3510043621063232,1.3003512280327933,1.4239567935466766,0.05065313407352989,2008-10-08 00:00:00+00:00,1.4239567935466766,BB mid TP,1.4362345413895068,1
long,2009-01-12 00:00:00+00:00,2009-01-13 00:00:00+00:00,1.3360053300857544,1.2886781011308943,1.3899961113929749,0.04732722895486008,2009-01-20 00:00:00+00:00,1.2886781011308943,SL,-1.0042343657961468,5
long,2009-02-17 00:00:00+00:00,2009-02-18 00:00:00+00:00,1.2596044540405273,1.2209229469299316,1.2929678678512573,0.0386815071105957,2009-02-20 00:00:00+00:00,1.2929678678512573,BB mid TP,0.857631349465612,2
short,2009-03-18 00:00:00+00:00,2009-03-19 00:00:00+00:00,1.34890878200531,1.3870470694133215,1.278273981809616,0.038138287408011395,2009-05-21 00:00:00+00:00,1.3870470694133215,SL,-1.0053053330669035,45
short,2009-09-08 00:00:00+00:00,2009-09-09 00:00:00+00:00,1.455561637878418,1.468485849244254,1.4278383612632752,0.012924211365836102,2009-09-16 00:00:00+00:00,1.4708045721054077,SL,-1.1963026628875686,5
short,2009-10-14 00:00:00+00:00,2009-10-15 00:00:00+00:00,1.4942322969436646,1.5076314040592738,1.4708036243915559,0.01339910711560921,2009-10-28 00:00:00+00:00,1.4708036243915559,BB mid TP,1.731797313608691,9
short,2009-11-25 00:00:00+00:00,2009-11-26 00:00:00+00:00,1.5126075744628906,1.5386112417493547,1.490365779399872,0.026003667286464083,2009-11-27 00:00:00+00:00,1.490365779399872,BB mid TP,0.8466076605398227,1
long,2009-12-08 00:00:00+00:00,2009-12-09 00:00:00+00:00,1.4693998098373413,1.4405348811830794,1.4951227128505706,0.028864928654261934,2009-12-17 00:00:00+00:00,1.4405348811830794,SL,-1.0076359091032452,6
short,2010-03-12 00:00:00+00:00,2010-03-15 00:00:00+00:00,1.3773914575576782,1.4035345145634242,1.3615812242031098,0.02614305700574593,2010-03-18 00:00:00+00:00,1.3615812242031098,BB mid TP,0.5968553957750732,3
long,2010-03-24 00:00:00+00:00,2010-03-25 00:00:00+00:00,1.3329956531524658,1.3103395359856742,1.361441868543625,0.02265611716679161,2010-04-12 00:00:00+00:00,1.361441868543625,BB mid TP,1.2467390522056634,12
long,2010-04-22 00:00:00+00:00,2010-04-23 00:00:00+00:00,1.326981544494629,1.305284091404506,1.3476732432842256,0.02169745309012283,2010-05-04 00:00:00+00:00,1.305284091404506,SL,-1.009173760203441,7
short,2010-09-15 00:00:00+00:00,2010-09-16 00:00:00+00:00,1.3013039827346802,1.3311616012028284,1.275976574420929,0.029857618468148273,2010-09-22 00:00:00+00:00,1.3311616012028284,SL,-1.0065375474476785,4
long,2011-01-07 00:00:00+00:00,2011-01-10 00:00:00+00:00,1.2898067235946655,1.2599671908787318,1.3204362571239472,0.02983953271593376,2011-01-13 00:00:00+00:00,1.3204362571239472,BB mid TP,1.0199912582575452,3
short,2011-03-04 00:00:00+00:00,2011-03-07 00:00:00+00:00,1.3988752365112305,1.4243624210357666,1.3680725693702698,0.025487184524536133,2011-03-22 00:00:00+00:00,1.4243624210357666,SL,-1.008232815408649,11
short,2011-04-11 00:00:00+00:00,2011-04-12 00:00:00+00:00,1.4434388875961304,1.468141061919076,1.4149428963661195,0.024702174322945636,2011-04-27 00:00:00+00:00,1.468989610671997,SL,-1.043116228237089,11
short,2011-04-28 00:00:00+00:00,2011-04-29 00:00:00+00:00,1.4842960834503174,1.5185555389949255,1.441785305738449,0.034259455544608075,2011-05-09 00:00:00+00:00,1.441785305738449,BB mid TP,1.234349251239232,6
short,2011-06-06 00:00:00+00:00,2011-06-07 00:00:00+00:00,1.4581509828567505,1.4918574094772339,1.4265376389026643,0.0337064266204834,2011-06-15 00:00:00+00:00,1.4265376389026643,BB mid TP,0.9314135152961954,6
long,2011-07-12 00:00:00+00:00,2011-07-13 00:00:00+00:00,1.3969016075134277,1.3574671064104353,1.4334467351436615,0.0394345011029924,2011-07-21 00:00:00+00:00,1.4334467351436615,BB mid TP,0.9214163073651641,6
long,2011-09-06 00:00:00+00:00,2011-09-07 00:00:00+00:00,1.400383710861206,1.3675499303000314,1.4343046605587007,0.0328337805611747,2011-09-09 00:00:00+00:00,1.3675499303000314,SL,-1.006397604937324,2
short,2011-10-28 00:00:00+00:00,2011-10-31 00:00:00+00:00,1.414207100868225,1.4550465515681676,1.3674115061759948,0.04083945069994255,2011-11-01 00:00:00+00:00,1.3674115061759948,BB mid TP,1.1406486333364314,1
long,2011-11-10 00:00:00+00:00,2011-11-11 00:00:00+00:00,1.3611923456192017,1.3141172783715385,1.3822332859039306,0.047075067247663194,2011-12-13 00:00:00+00:00,1.3141172783715385,SL,-1.004337303455536,22
long,2011-12-14 00:00:00+00:00,2011-12-15 00:00:00+00:00,1.2987350225448608,1.2674891948699951,1.3375629305839538,0.031245827674865723,2012-01-11 00:00:00+00:00,1.2674891948699951,SL,-1.0062347605385547,19
long,2012-05-07 00:00:00+00:00,2012-05-08 00:00:00+00:00,1.306165099143982,1.28644141129085,1.3152590453624726,0.019723687853131944,2012-05-14 00:00:00+00:00,1.28644141129085,SL,-1.0099334752370097,4
long,2012-07-09 00:00:00+00:00,2012-07-10 00:00:00+00:00,1.2318001985549927,1.203110592705863,1.2543314814567565,0.028689605849129718,2012-08-23 00:00:00+00:00,1.2543314814567565,BB mid TP,0.7789062348745545,32
short,2012-08-24 00:00:00+00:00,2012-08-27 00:00:00+00:00,1.2504533529281616,1.2707690681729997,1.2349443674087524,0.020315715244838106,2012-09-07 00:00:00+00:00,1.2707690681729997,SL,-1.0092326556401643,9
short,2012-09-10 00:00:00+00:00,2012-09-11 00:00:00+00:00,1.2761613130569458,1.2979999610355921,1.2495421230793,0.02183864797864632,2012-09-14 00:00:00+00:00,1.299376368522644,SL,-1.0717916093314694,3
short,2012-10-17 00:00:00+00:00,2012-10-18 00:00:00+00:00,1.3116475343704224,1.335667337690081,1.2942687809467315,0.024019803319658584,2012-10-24 00:00:00+00:00,1.2942687809467315,BB mid TP,0.7153266854384696,4
short,2012-12-05 00:00:00+00:00,2012-12-06 00:00:00+00:00,1.3070186376571655,1.3251210791724068,1.2848568379878997,0.01810244151524132,2012-12-19 00:00:00+00:00,1.3251210791724068,SL,-1.0108301852810024,9
short,2013-01-14 00:00:00+00:00,2013-01-15 00:00:00+00:00,1.3377926349639893,1.3609313453946794,1.3183716654777526,0.023138710430690157,2013-02-01 00:00:00+00:00,1.3610997200012207,SL,-1.0159491819084439,13
long,2013-02-22 00:00:00+00:00,2013-02-25 00:00:00+00:00,1.3194352388381958,1.2950116906847273,1.3440714418888091,0.024423548153468477,2013-03-13 00:00:00+00:00,1.2950116906847273,SL,-1.0081034616502935,12
long,2013-03-28 00:00:00+00:00,2013-03-29 00:00:00+00:00,1.2813942432403564,1.2568763835089547,1.2967043220996857,0.024517859731401748,2013-04-05 00:00:00+00:00,1.2967043220996857,BB mid TP,0.6166064203181916,5
short,2013-04-10 00:00:00+00:00,2013-04-11 00:00:00+00:00,1.3053126335144043,1.3283859491348267,1.291059023141861,0.023073315620422363,2013-05-15 00:00:00+00:00,1.291059023141861,BB mid TP,0.6092671598993519,24
long,2013-05-16 00:00:00+00:00,2013-05-17 00:00:00+00:00,1.2883278131484985,1.2639628989355904,1.3049140214920043,0.024364914212908095,2013-05-30 00:00:00+00:00,1.3049140214920043,BB mid TP,0.6728100508906697,9
short,2013-06-07 00:00:00+00:00,2013-06-10 00:00:00+00:00,1.3224014043807983,1.3473270961216517,1.296303129196167,0.02492569174085335,2013-07-03 00:00:00+00:00,1.296303129196167,BB mid TP,1.0390851031638184,17
long,2013-09-02 00:00:00+00:00,2013-09-03 00:00:00+00:00,1.3190349340438843,1.3002875873020716,1.3326099276542664,0.018747346741812665,2013-09-16 00:00:00+00:00,1.3326099276542664,BB mid TP,0.7135483519083918,9
short,2013-09-19 00:00:00+00:00,2013-09-20 00:00:00+00:00,1.3534914255142212,1.3703903130122594,1.329332959651947,0.01689888749803825,2013-10-18 00:00:00+00:00,1.3703903130122594,SL,-1.0120140283702523,19
short,2013-12-09 00:00:00+00:00,2013-12-10 00:00:00+00:00,1.3737962245941162,1.391018339565822,1.3537770926952362,0.017222114971705782,2014-01-20 00:00:00+00:00,1.3537770926952362,BB mid TP,1.1504430494014133,29
long,2014-02-03 00:00:00+00:00,2014-02-04 00:00:00+00:00,1.3522833585739136,1.3331870521817888,1.361227035522461,0.019096306392124784,2014-02-06 00:00:00+00:00,1.361227035522461,BB mid TP,0.4577238270729647,2
short,2014-03-07 00:00:00+00:00,2014-03-10 00:00:00+00:00,1.3877516984939575,1.4048578228269304,1.3712662279605865,0.017106124332972872,2014-03-28 00:00:00+00:00,1.3712662279605865,BB mid TP,0.9515485484471566,14
short,2014-05-07 00:00:00+00:00,2014-05-08 00:00:00+00:00,1.3912075757980347,1.4020632675715856,1.3842710196971892,0.010855691773550946,2014-05-09 00:00:00+00:00,1.3842710196971892,BB mid TP,0.6197555259322733,1
long,2014-05-14 00:00:00+00:00,2014-05-15 00:00:00+00:00,1.3718926906585693,1.3565541335514613,1.3831016719341278,0.015338557107108075,2014-06-05 00:00:00+00:00,1.3565541335514613,SL,-1.0134161187497501,15
long,2014-07-17 00:00:00+00:00,2014-07-18 00:00:00+00:00,1.351807951927185,1.340359023639134,1.3616166293621064,0.011448928288050997,2014-07-30 00:00:00+00:00,1.340359023639134,SL,-1.017710932210197,8
long,2014-11-03 00:00:00+00:00,2014-11-04 00:00:00+00:00,1.2492660284042358,1.224728328841073,1.2689797282218933,0.024537699563162763,2014-12-22 00:00:00+00:00,1.2224938869476318,SL,-1.0986984045292354,34
long,2014-12-24 00:00:00+00:00,2014-12-25 00:00:00+00:00,1.2198543548583984,1.1967543704169137,1.2375717461109161,0.023099984441484755,2015-01-05 00:00:00+00:00,1.195500135421753,SL,-1.062217061315784,7
short,2015-04-30 00:00:00+00:00,2015-05-01 00:00:00+00:00,1.1215037107467651,1.1525861195155553,1.0800917327404023,0.031082408768790204,2015-08-24 00:00:00+00:00,1.1525861195155553,SL,-1.0054122432358243,81
short,2015-10-15 00:00:00+00:00,2015-10-16 00:00:00+00:00,1.1366994380950928,1.1575334412711007,1.1261541664600372,0.02083400317600792,2015-10-22 00:00:00+00:00,1.1261541664600372,BB mid TP,0.49797279148391055,4
long,2015-10-23 00:00:00+00:00,2015-10-26 00:00:00+00:00,1.1020376682281494,1.078061853136335,1.128492248058319,0.023975815091814345,2015-11-06 00:00:00+00:00,1.078061853136335,SL,-1.006894683229796,9
long,2016-01-06 00:00:00+00:00,2016-01-07 00:00:00+00:00,1.0777952671051025,1.0608806439808436,1.0915288865566253,0.016914623124258954,2016-01-08 00:00:00+00:00,1.0915288865566253,BB mid TP,0.8023796960626383,1
short,2016-02-04 00:00:00+00:00,2016-02-05 00:00:00+00:00,1.119996428489685,1.1424798284258162,1.0893961310386657,0.022483399936131132,2016-02-29 00:00:00+00:00,1.0893961310386657,BB mid TP,1.353545196598169,16
short,2016-03-18 00:00:00+00:00,2016-03-21 00:00:00+00:00,1.1275991201400757,1.152325885636466,1.1041103065013886,0.0247267654963903,2016-05-02 00:00:00+00:00,1.152325885636466,SL,-1.0068403555671568,30
long,2016-05-25 00:00:00+00:00,2016-05-26 00:00:00+00:00,1.1156978607177734,1.1008387804031372,1.1349201261997224,0.01485908031463623,2016-06-03 00:00:00+00:00,1.1349201261997224,BB mid TP,1.2823748441599134,6
long,2016-06-27 00:00:00+00:00,2016-06-28 00:00:00+00:00,1.1016006469726562,1.0715357405798775,1.1264496386051177,0.0300649063927787,2016-08-16 00:00:00+00:00,1.1264496386051177,BB mid TP,0.8210154128849827,35
short,2016-08-17 00:00:00+00:00,2016-08-18 00:00:00+00:00,1.1301988363265991,1.1485391003744942,1.1112133145332337,0.018340264047895127,2016-10-07 00:00:00+00:00,1.1112133145332337,BB mid TP,1.0259389896884235,36
long,2016-10-12 00:00:00+00:00,2016-10-13 00:00:00+00:00,1.1013215780258179,1.0859276567186629,1.119756555557251,0.015393921307155,2016-10-25 00:00:00+00:00,1.0859276567186629,SL,-1.0107313941267901,8
long,2016-11-15 00:00:00+00:00,2016-11-16 00:00:00+00:00,1.0726161003112793,1.0503108160836356,1.0955665349960326,0.022305284227643662,2016-12-15 00:00:00+00:00,1.0503108160836356,SL,-1.0072131972587595,21
long,2016-12-16 00:00:00+00:00,2016-12-19 00:00:00+00:00,1.0448229312896729,1.01869569505964,1.0614787220954895,0.02612723623003288,2017-01-10 00:00:00+00:00,1.0614787220954895,BB mid TP,0.6314891946802167,16
short,2017-01-18 00:00:00+00:00,2017-01-19 00:00:00+00:00,1.0629477500915527,1.0865142856325423,1.0528114855289459,0.02356653554098953,2017-02-15 00:00:00+00:00,1.0528114855289459,BB mid TP,0.4233470118142876,19
short,2017-03-13 00:00:00+00:00,2017-03-14 00:00:00+00:00,1.065200924873352,1.0817384719848633,1.058552759885788,0.01653754711151123,2017-03-21 00:00:00+00:00,1.0817384719848633,SL,-1.0096616588695784,5
short,2017-03-22 00:00:00+00:00,2017-03-23 00:00:00+00:00,1.0789697170257568,1.0952200889587402,1.0627279579639435,0.0162503719329834,2017-04-07 00:00:00+00:00,1.0627279579639435,BB mid TP,0.9895104967795889,11
short,2017-04-24 00:00:00+00:00,2017-04-25 00:00:00+00:00,1.086767554283142,1.1005007539476668,1.0691364228725433,0.013733199664524687,2017-05-16 00:00:00+00:00,1.1005007539476668,SL,-1.0118701495008164,15
long,2017-10-27 00:00:00+00:00,2017-10-30 00:00:00+00:00,1.160725712776184,1.1422385999134608,1.1775409817695617,0.01848711286272331,2017-11-15 00:00:00+00:00,1.1775409817695617,BB mid TP,0.9001492152955778,12
short,2017-11-24 00:00:00+00:00,2017-11-27 00:00:00+00:00,1.1928761005401611,1.2091497012547083,1.1684229969978333,0.0162736007145472,2018-01-04 00:00:00+00:00,1.2091497012547083,SL,-1.01099519511506,28
short,2018-03-27 00:00:00+00:00,2018-03-28 00:00:00+00:00,1.240802526473999,1.2601555585861206,1.2328093647956848,0.019353032112121582,2018-03-29 00:00:00+00:00,1.2328093647956848,BB mid TP,0.4034014543102652,1
long,2018-04-24 00:00:00+00:00,2018-04-25 00:00:00+00:00,1.2236157655715942,1.2070564372198922,1.2320052802562713,0.01655932835170204,2018-04-27 00:00:00+00:00,1.2070564372198922,SL,-1.0110839256845146,2
long,2018-04-30 00:00:00+00:00,2018-05-01 00:00:00+00:00,1.208313226699829,1.190739291054862,1.2285568773746491,0.01757393564496712,2018-05-07 00:00:00+00:00,1.190739291054862,SL,-1.0103133975033578,4
long,2018-08-03 00:00:00+00:00,2018-08-06 00:00:00+00:00,1.156136155128479,1.1391387496675764,1.1686645865440368,0.01699740546090256,2018-08-13 00:00:00+00:00,1.1391387496675764,SL,-1.0102027585132434,5
long,2018-08-14 00:00:00+00:00,2018-08-15 00:00:00+00:00,1.1348161697387695,1.1162457977022444,1.1621029019355773,0.018570372036525118,2018-08-22 00:00:00+00:00,1.1621029019355773,BB mid TP,1.4602028283554511,5
