direction,signal_time,entry_time,entry,sl,tp,orig_risk,exit_time,exit,reason,r_multiple,bars_held
short,2021-09-03 00:00:00+00:00,2021-09-06 00:00:00+00:00,1.1885942220687866,1.200191514832633,1.1760164141654967,0.011597292763846356,2021-09-16 00:00:00+00:00,1.1760164141654967,BB mid TP,1.0691735582147315,8
long,2021-09-23 00:00:00+00:00,2021-09-24 00:00:00+00:00,1.1741775274276733,1.1640304667609078,1.180083566904068,0.010147060666765517,2021-09-29 00:00:00+00:00,1.1640304667609078,SL,-1.0173574037741802,3
long,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,1.1574207544326782,1.1451585463115148,1.1773062884807586,0.01226220812116341,2021-11-12 00:00:00+00:00,1.1447803974151611,SL,-1.0449969535720318,30
long,2021-11-15 00:00:00+00:00,2021-11-16 00:00:00+00:00,1.1367381811141968,1.1206896134785242,1.15850527882576,0.016048567635672528,2021-11-24 00:00:00+00:00,1.1206896134785242,SL,-1.01062466950559,6
short,2022-01-13 00:00:00+00:00,2022-01-14 00:00:00+00:00,1.14565908908844,1.1602176938738142,1.1325771987438202,0.014558604785374296,2022-01-19 00:00:00+00:00,1.1325771987438202,BB mid TP,0.8867636474496501,3
long,2022-01-28 00:00:00+00:00,2022-01-31 00:00:00+00:00,1.115138053894043,1.098615390913827,1.1334405720233918,0.016522662980215985,2022-02-03 00:00:00+00:00,1.1334405720233918,BB mid TP,1.0975983376880345,3
long,2022-02-28 00:00:00+00:00,2022-03-01 00:00:00+00:00,1.1214659214019775,1.1035181283950806,1.1339954912662507,0.017947793006896973,2022-03-04 00:00:00+00:00,1.1035181283950806,SL,-1.00937273391473,3
long,2022-03-07 00:00:00+00:00,2022-03-08 00:00:00+00:00,1.08695650100708,1.062325392450605,1.1275352001190186,0.02463110855647499,2022-04-27 00:00:00+00:00,1.062325392450605,SL,-1.0066194127957022,36
long,2022-04-28 00:00:00+00:00,2022-04-29 00:00:00+00:00,1.0504201650619507,1.028753467968532,1.0843607187271118,0.02166669709341873,2022-07-05 00:00:00+00:00,1.028753467968532,SL,-1.007272129391939,47
long,2022-07-06 00:00:00+00:00,2022-07-07 00:00:00+00:00,1.0186411142349243,0.9952761956623623,1.050171822309494,0.023364918572562066,2022-08-22 00:00:00+00:00,0.9952761956623623,SL,-1.0065395548741467,32
long,2022-08-23 00:00:00+00:00,2022-08-24 00:00:00+00:00,0.9966909885406494,0.9738468953541347,1.0179494798183442,0.022844093186514702,2022-09-12 00:00:00+00:00,1.0179494798183442,BB mid TP,0.9240457678519137,13
long,2022-09-22 00:00:00+00:00,2022-09-23 00:00:00+00:00,0.9841550588607788,0.9600978238242013,0.9985826134681701,0.02405723503657753,2022-09-26 00:00:00+00:00,0.9600978238242013,SL,-1.0061363352274135,1
long,2022-09-27 00:00:00+00:00,2022-09-28 00:00:00+00:00,0.9596191644668579,0.9322211486952645,0.9947386413812638,0.027398015771593398,2022-10-04 00:00:00+00:00,0.9947386413812638,BB mid TP,1.276571790136675,4
