direction,entry_time,entry,sl,tp1,tp2,orig_risk,exit_time,exit,reason,r_multiple,crt_high,crt_low,half_closed
long,2021-10-01 00:00:00+00:00,1.1574475765228271,1.1574475765228271,1.1590880751609802,1.161170482635498,0.0016704968043737,2021-10-04 00:00:00+00:00,1.161170482635498,TP1+TP2,1.6053322391223652,1.161170482635498,1.1570056676864624,True
long,2021-10-13 00:00:00+00:00,1.15340256690979,1.15340256690979,1.1551974415779114,1.1570056676864624,0.0009415422167096121,2021-10-14 00:00:00+00:00,1.1570056676864624,TP1+TP2,2.8665604945776586,1.1570056676864624,1.1533892154693604,True
short,2021-12-23 00:00:00+00:00,1.1328877210617065,1.1328877210617065,1.1303658485412598,1.1265320777893066,0.002357868637357541,2021-12-29 00:00:00+00:00,1.1328877210617065,Partial TP1 + BE,0.534777994094072,1.134199619293213,1.1265320777893066,True
long,2022-01-04 00:00:00+00:00,1.1302244663238525,1.1302244663238525,1.1330662369728088,1.1375917196273804,0.0035518825054168257,2022-01-06 00:00:00+00:00,1.1302244663238525,Partial TP1 + BE,0.40003725413529795,1.1375917196273804,1.1285407543182373,True
long,2022-01-28 00:00:00+00:00,1.1147029399871826,1.1147029399871826,1.1189150214195251,1.12447988986969,0.0031595153467995907,2022-02-01 00:00:00+00:00,1.12447988986969,TP1+TP2,2.2137938543359104,1.12447988986969,1.1133501529693604,True
long,2024-02-26 00:00:00+00:00,1.0820051431655884,1.0820051431655884,1.0826568603515625,1.0839403867721558,0.001222940853663923,2024-02-27 00:00:00+00:00,1.0839403867721558,TP1+TP2,1.0576802568950843,1.0839403867721558,1.0813733339309692,True
short,2025-11-27 00:00:00+00:00,1.1602139472961426,1.1602139472961426,1.1575942635536194,1.154961109161377,0.0019741858754838137,2025-12-01 00:00:00+00:00,1.1602139472961426,Partial TP1 + BE,0.6634845723129256,1.1602274179458618,1.154961109161377,True
short,2025-12-24 00:00:00+00:00,1.179551362991333,1.179551362991333,1.1783939599990845,1.176429033279419,0.0019402861595154697,2025-12-26 00:00:00+00:00,1.176429033279419,TP1+TP2,1.102861215386739,1.18035888671875,1.176429033279419,True
short,2026-01-06 00:00:00+00:00,1.1714951992034912,1.1714951992034912,1.1689348816871643,1.166003942489624,0.0035742385046821923,2026-01-08 00:00:00+00:00,1.166003942489624,TP1+TP2,1.1263342135180214,1.1718658208847046,1.166003942489624,True
short,2026-02-10 00:00:00+00:00,1.1904053688049316,1.1904053688049316,1.1871510744094849,1.1817816495895386,0.003490358591079712,2026-02-17 00:00:00+00:00,1.1817816495895386,TP1+TP2,1.7015463169309322,1.1925204992294312,1.1817816495895386,True
long,2026-05-20 00:00:00+00:00,1.1607122421264648,1.1607122421264648,1.1624069809913635,1.1655012369155884,0.0030529933316367774,2026-05-22 00:00:00+00:00,1.1607122421264648,Partial TP1 + BE,0.2775536466681528,1.1655012369155884,1.1593127250671387,True
short,2026-05-29 00:00:00+00:00,1.1652837991714478,1.1652837991714478,1.1622607707977295,1.1587486267089844,0.003847519840513014,2026-06-02 00:00:00+00:00,1.1652837991714478,Partial TP1 + BE,0.39285416307498267,1.1657729148864746,1.1587486267089844,True
short,2026-07-07 00:00:00+00:00,1.144177794456482,1.144177794456482,1.1427030563354492,1.1409794092178345,0.001279027972902469,2026-07-08 00:00:00+00:00,1.1409794092178345,TP1+TP2,1.8268260971163763,1.144426703453064,1.1409794092178345,True
long,2026-07-21 00:00:00+00:00,1.1418131589889526,1.1397653664861407,1.1427373886108398,1.1449507474899292,0.0020477925028119515,2026-07-23 00:00:00+00:00,1.1397653664861407,SL (same-bar conflict),-1.0,1.1449507474899292,1.1405240297317505,False
long,2026-08-07 00:00:00+00:00,1.1524720191955566,1.1524720191955566,1.1541051864624023,1.156203031539917,0.0011533873421805119,2026-08-10 00:00:00+00:00,1.156203031539917,TP1+TP2,2.3254024970765323,1.156203031539917,1.1520073413848877,True
short,2026-08-20 00:00:00+00:00,1.1673787832260132,1.1673787832260132,1.1625241041183472,1.1572332382202148,0.004223434414182492,2026-09-02 00:00:00+00:00,1.1572332382202148,TP1+TP2,1.775832491099293,1.1678149700164795,1.1572332382202148,True
short,2026-09-04 00:00:00+00:00,1.1621150970458984,1.1641575259821755,1.160682737827301,1.1584800481796265,0.002042428936277041,2026-09-04 00:00:00+00:00,1.1621150970458984,EOD,0.0,1.1628854274749756,1.1584800481796265,False
