direction,signal_time,entry_time,entry,sl,tp,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2021-09-21 00:00:00+00:00,2021-09-22 00:00:00+00:00,1.3659336566925049,1.3477789163589478,1.378465336561203,0.01815474033355713,2021-09-29 00:00:00+00:00,1.3477789163589478,SL,-1.0112857603435483,5
long,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,1.3469645977020264,1.3240365130560738,1.3739329338073731,0.02292808464595253,2021-10-15 00:00:00+00:00,1.3739329338073731,BB mid TP,1.1674019801046263,10
long,2021-11-05 00:00:00+00:00,2021-11-08 00:00:00+00:00,1.3489633798599243,1.3277301958629064,1.370080143213272,0.0212331839970179,2021-11-30 00:00:00+00:00,1.3277301958629064,SL,-1.0095296356404864,16
long,2022-02-25 00:00:00+00:00,2022-02-28 00:00:00+00:00,1.337005615234375,1.317434310913086,1.3539332032203675,0.019571304321289062,2022-03-07 00:00:00+00:00,1.317434310913086,SL,-1.0102471883831985,5
long,2022-04-25 00:00:00+00:00,2022-04-26 00:00:00+00:00,1.2737231254577637,1.2523771694728307,1.3058833599090576,0.02134595598493294,2022-04-27 00:00:00+00:00,1.2523771694728307,SL,-1.0089505697919325,1
long,2022-08-19 00:00:00+00:00,2022-08-22 00:00:00+00:00,1.1817677021026611,1.1536168030330114,1.210827249288559,0.028150899069649737,2022-09-01 00:00:00+00:00,1.1536168030330114,SL,-1.0062969624833942,8
short,2022-10-27 00:00:00+00:00,2022-10-28 00:00:00+00:00,1.156738042831421,1.1986016205378942,1.1263355314731598,0.04186357770647331,2022-11-03 00:00:00+00:00,1.1263355314731598,BB mid TP,0.7220835463176891,4
short,2022-11-14 00:00:00+00:00,2022-11-15 00:00:00+00:00,1.1752538681030273,1.2209246499197823,1.144119381904602,0.04567078181675499,2022-12-01 00:00:00+00:00,1.2209246499197823,SL,-1.0038599750913566,12
short,2023-01-18 00:00:00+00:00,2023-01-19 00:00:00+00:00,1.2346745729446411,1.2647641216005598,1.210240787267685,0.03008954865591873,2023-02-03 00:00:00+00:00,1.210240787267685,BB mid TP,0.8058806321192392,11
long,2023-02-06 00:00:00+00:00,2023-02-07 00:00:00+00:00,1.2027181386947632,1.176224946975708,1.2292045593261718,0.026493191719055176,2023-03-22 00:00:00+00:00,1.2292045593261718,BB mid TP,0.992934833581559,31
short,2023-05-04 00:00:00+00:00,2023-05-05 00:00:00+00:00,1.2582573890686035,1.2780213356018066,1.2460264146327973,0.019763946533203125,2023-05-12 00:00:00+00:00,1.2460264146327973,BB mid TP,0.6093031979830126,5
long,2023-05-26 00:00:00+00:00,2023-05-29 00:00:00+00:00,1.2345983982086182,1.2155110665730067,1.2501669347286224,0.019087331635611493,2023-06-01 00:00:00+00:00,1.2501669347286224,BB mid TP,0.805945380629947,3
short,2023-06-09 00:00:00+00:00,2023-06-12 00:00:00+00:00,1.2578141689300537,1.2785655430385046,1.243680739402771,0.02075137410845085,2023-06-16 00:00:00+00:00,1.278625249862671,SL,-1.0119692772251017,4
short,2023-06-19 00:00:00+00:00,2023-06-20 00:00:00+00:00,1.2794922590255737,1.3037349837166923,1.2495478868484498,0.024242724691118545,2023-07-13 00:00:00+00:00,1.3037349837166923,SL,-1.0079167602362844,17
long,2023-08-25 00:00:00+00:00,2023-08-28 00:00:00+00:00,1.2591921091079712,1.240464755467006,1.2734488606452943,0.018727353640965116,2023-08-30 00:00:00+00:00,1.2734488606452943,BB mid TP,0.7511938414076909,2
