direction,signal_time,entry_time,entry,sl,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2021-09-03 00:00:00+00:00,2021-09-07 00:00:00+00:00,1825.699951171875,1789.28994140625,36.41000976562509,2021-09-08 00:00:00+00:00,1781.699951171875,SL/Trail,-1.2235017313126162,1
short,2021-09-16 00:00:00+00:00,2021-09-17 00:00:00+00:00,1758.800048828125,1775.875,34.6400146484375,2021-10-08 00:00:00+00:00,1775.875,SL/Trail,-0.5081577292958054,15
long,2021-11-05 00:00:00+00:00,2021-11-08 00:00:00+00:00,1817.0,1817.0799438476563,36.1199951171875,2021-11-22 00:00:00+00:00,1817.0799438476563,SL/Trail,-0.012878079048309794,10
short,2021-12-02 00:00:00+00:00,2021-12-03 00:00:00+00:00,1767.5,1807.1800048828125,39.680004882812455,2021-12-16 00:00:00+00:00,1796.5999755859375,Donchian exit,-0.7467293835634568,9
long,2021-12-31 00:00:00+00:00,2022-01-03 00:00:00+00:00,1830.0999755859375,1799.7299926757812,30.369982910156295,2022-01-06 00:00:00+00:00,1787.0999755859375,SL/Trail,-1.4339497694650387,3
long,2022-01-19 00:00:00+00:00,2022-01-20 00:00:00+00:00,1840.5999755859375,1808.8400390625,31.759936523437545,2022-01-27 00:00:00+00:00,1793.300048828125,SL/Trail,-1.5066814354359734,5
long,2022-02-14 00:00:00+00:00,2022-02-15 00:00:00+00:00,1872.5999755859375,1945.4650451660157,37.069934082031295,2022-03-15 00:00:00+00:00,1939.800048828125,SL/Trail,1.7976372200190378,19
long,2022-04-12 00:00:00+00:00,2022-04-13 00:00:00+00:00,1969.5,1924.7099975585938,44.79000244140616,2022-04-25 00:00:00+00:00,1924.7099975585938,SL/Trail,-1.0131915598971655,7
short,2022-05-12 00:00:00+00:00,2022-05-13 00:00:00+00:00,1825.0,1870.67001953125,45.67001953125009,2022-05-24 00:00:00+00:00,1865.0999755859375,Donchian exit,-0.8900253602502649,7
short,2022-06-30 00:00:00+00:00,2022-07-01 00:00:00+00:00,1795.5,1749.6149597167969,43.279980468749955,2022-07-28 00:00:00+00:00,1749.6149597167969,SL/Trail,1.0477451651334548,18
short,2022-08-30 00:00:00+00:00,2022-08-31 00:00:00+00:00,1718.300048828125,1675.1550598144531,32.09000244140634,2022-10-03 00:00:00+00:00,1675.1550598144531,SL/Trail,1.3284355174749933,22
long,2022-12-01 00:00:00+00:00,2022-12-02 00:00:00+00:00,1802.0,1893.544940185547,40.830004882812545,2023-02-03 00:00:00+00:00,1893.544940185547,SL/Trail,2.2288594000108812,42
long,2023-03-13 00:00:00+00:00,2023-03-14 00:00:00+00:00,1912.199951171875,1972.969970703125,36.67000732421866,2023-05-16 00:00:00+00:00,1988.4000244140625,Donchian exit,2.0623506449885154,44
long,2023-07-18 00:00:00+00:00,2023-07-19 00:00:00+00:00,1977.0,1943.6599853515625,33.340014648437545,2023-07-27 00:00:00+00:00,1945.4000244140625,Donchian exit,-0.9655987234980475,6
short,2023-08-17 00:00:00+00:00,2023-08-18 00:00:00+00:00,1891.800048828125,1921.2600463867188,29.45999755859384,2023-08-28 00:00:00+00:00,1921.2600463867188,SL/Trail,-1.0192647678778535,6
short,2023-09-26 00:00:00+00:00,2023-09-27 00:00:00+00:00,1871.5999755859375,1858.3000122070312,22.34002685546875,2023-10-09 00:00:00+00:00,1858.3000122070312,SL/Trail,0.5702089558192375,8
long,2023-10-18 00:00:00+00:00,2023-10-19 00:00:00+00:00,1950.0999755859375,1942.0199584960938,41.02001953125,2023-11-07 00:00:00+00:00,1966.800048828125,Donchian exit,0.392858010153674,13
