direction,signal_time,entry_time,entry,sl,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2001-06-26 00:00:00+00:00,2001-06-27 00:00:00+00:00,275.70001220703125,269.1000152587891,6.599996948242165,2001-06-28 00:00:00+00:00,269.29998779296875,Donchian exit,-0.9822329417063159,1
long,2001-08-09 00:00:00+00:00,2001-08-10 00:00:00+00:00,273.3999938964844,272.9099868774414,3.4500061035156477,2001-08-24 00:00:00+00:00,272.5,SL/Trail,-0.2846412050264555,10
long,2001-09-14 00:00:00+00:00,2001-09-17 00:00:00+00:00,289.79998779296875,285.94999237060546,4.62999572753904,2001-10-09 00:00:00+00:00,288.8999938964844,Donchian exit,-0.21316086469627177,16
long,2001-12-14 00:00:00+00:00,2001-12-17 00:00:00+00:00,278.20001220703125,281.5250015258789,3.5099945068359375,2002-01-22 00:00:00+00:00,281.5,SL/Trail,0.9163911177189161,22
long,2002-02-04 00:00:00+00:00,2002-02-05 00:00:00+00:00,290.0,293.2850082397461,4.329995727539085,2002-02-19 00:00:00+00:00,293.2850082397461,SL/Trail,0.7385707610302111,9
long,2002-03-27 00:00:00+00:00,2002-03-28 00:00:00+00:00,302.79998779296875,299.5249984741211,3.499996948242199,2002-04-04 00:00:00+00:00,299.5249984741211,SL/Trail,-0.9616663571309552,4
long,2002-04-25 00:00:00+00:00,2002-04-26 00:00:00+00:00,308.3999938964844,304.2649948120117,6.150003051757835,2002-05-14 00:00:00+00:00,307.29998779296875,Donchian exit,-0.1939065869802641,12
long,2002-05-20 00:00:00+00:00,2002-05-21 00:00:00+00:00,315.79998779296875,320.4649887084961,4.240011596679665,2002-06-05 00:00:00+00:00,320.4649887084961,SL/Trail,1.0778887781270232,10
long,2002-09-05 00:00:00+00:00,2002-09-06 00:00:00+00:00,320.0,319.7799957275391,6.800006103515614,2002-09-27 00:00:00+00:00,319.6000061035156,SL/Trail,-0.07294021342538874,15
long,2002-11-07 00:00:00+00:00,2002-11-08 00:00:00+00:00,321.5,319.3550064086914,3.75,2002-11-13 00:00:00+00:00,318.70001220703125,SL/Trail,-0.7723834114583333,3
long,2002-12-05 00:00:00+00:00,2002-12-06 00:00:00+00:00,324.29998779296875,367.71998901367186,4.75,2003-02-07 00:00:00+00:00,367.71998901367186,SL/Trail,9.12057078407689,42
short,2003-03-21 00:00:00+00:00,2003-03-24 00:00:00+00:00,329.5,334.7,9.000006103515602,2003-04-21 00:00:00+00:00,333.5,Donchian exit,-0.45542746892125974,19
long,2003-04-30 00:00:00+00:00,2003-05-01 00:00:00+00:00,339.0,366.9899963378906,7.429995727539051,2003-05-28 00:00:00+00:00,366.9899963378906,SL/Trail,3.7534740746247657,18
long,2003-05-29 00:00:00+00:00,2003-05-30 00:00:00+00:00,368.6000061035156,363.960009765625,4.639996337890636,2003-06-02 00:00:00+00:00,360.0,SL/Trail,-1.8772829698625477,1
long,2003-07-23 00:00:00+00:00,2003-07-24 00:00:00+00:00,358.6000061035156,362.23500061035156,2.7299926757812614,2003-07-30 00:00:00+00:00,361.1000061035156,SL/Trail,0.8763466727925523,4
long,2003-08-14 00:00:00+00:00,2003-08-15 00:00:00+00:00,366.0,359.74000854492186,6.259991455078136,2003-08-18 00:00:00+00:00,359.74000854492186,SL/Trail,-1.017539960044343,1
