direction,signal_time,entry_time,entry,sl,tp,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2021-11-22 00:00:00+00:00,2021-11-23 00:00:00+00:00,1795.5,1754.94287109375,2201.0712890625,40.55712890625,2021-12-08 00:00:00+00:00,1783.4000244140625,RSI exit,-0.311625253729187,10
long,2022-03-15 00:00:00+00:00,2022-03-16 00:00:00+00:00,1922.4000244140625,1834.5428989955358,2800.9712785993306,87.85712541852672,2022-03-23 00:00:00+00:00,1936.5999755859375,RSI exit,0.15506119850443006,5
long,2022-04-22 00:00:00+00:00,2022-04-25 00:00:00+00:00,1925.0,1883.7571323939733,2337.4286760602677,41.24286760602672,2022-04-27 00:00:00+00:00,1883.7571323939733,SL,-1.0140024211099137,2
long,2022-05-10 00:00:00+00:00,2022-05-11 00:00:00+00:00,1841.5,1795.499965122768,2301.5003487723216,46.00003487723211,2022-05-16 00:00:00+00:00,1790.5,SL,-1.12070458506361,3
long,2023-02-03 00:00:00+00:00,2023-02-06 00:00:00+00:00,1865.5999755859375,1825.528564453125,2266.3140869140625,40.0714111328125,2023-02-17 00:00:00+00:00,1825.528564453125,SL,-1.0139670647190533,9
long,2023-02-23 00:00:00+00:00,2023-02-24 00:00:00+00:00,1808.800048828125,1771.771484375,2179.085693359375,37.028564453125,2023-02-28 00:00:00+00:00,1828.9000244140625,RSI exit,0.5281688842149681,2
long,2023-05-16 00:00:00+00:00,2023-05-17 00:00:00+00:00,1983.5999755859375,1940.914271763393,2410.457013811384,42.68570382254461,2023-05-30 00:00:00+00:00,1940.914271763393,SL,-1.0139409671010622,8
long,2023-06-20 00:00:00+00:00,2023-06-21 00:00:00+00:00,1935.5999755859375,1891.9428536551338,2372.1711948939733,43.65712193080367,2023-06-30 00:00:00+00:00,1921.0999755859375,RSI exit,-0.3454345894944378,7
long,2023-08-09 00:00:00+00:00,2023-08-10 00:00:00+00:00,1921.0999755859375,1890.2999616350446,2229.100115094866,30.80001395089289,2023-08-17 00:00:00+00:00,1890.2999616350446,SL,-1.0187120042735913,5
long,2023-09-06 00:00:00+00:00,2023-09-07 00:00:00+00:00,1917.5999755859375,1895.1142054966517,2142.457676478795,22.48577008928578,2023-09-11 00:00:00+00:00,1923.300048828125,RSI exit,0.22791273010274288,2
long,2023-11-08 00:00:00+00:00,2023-11-09 00:00:00+00:00,1951.699951171875,1926.399937220982,2204.7000906808034,25.30001395089289,2023-11-14 00:00:00+00:00,1961.800048828125,RSI exit,0.37607045155651575,3
long,2023-12-11 00:00:00+00:00,2023-12-12 00:00:00+00:00,1984.199951171875,1929.3285086495537,2532.914376395089,54.87144252232133,2023-12-14 00:00:00+00:00,2030.199951171875,RSI exit,0.8274748744973872,2
long,2024-01-03 00:00:00+00:00,2024-01-04 00:00:00+00:00,2041.5999755859375,1995.771449497768,2499.885236467634,45.82852608816961,2024-01-12 00:00:00+00:00,2046.699951171875,RSI exit,0.09791926505836594,6
long,2024-02-12 00:00:00+00:00,2024-02-13 00:00:00+00:00,2025.0999755859375,1990.3142787388392,2372.95694405692,34.78569684709828,2024-02-14 00:00:00+00:00,1990.300048828125,SL,-1.0178740102900041,1
long,2024-05-23 00:00:00+00:00,2024-05-24 00:00:00+00:00,2342.60009765625,2288.771554129464,2880.885532924107,53.82854352678578,2024-06-05 00:00:00+00:00,2354.10009765625,RSI exit,0.20058540066814717,7
long,2024-07-19 00:00:00+00:00,2024-07-22 00:00:00+00:00,2402.10009765625,2349.0429338727677,2932.6717354910716,53.05716378348234,2024-07-30 00:00:00+00:00,2405.0,RSI exit,0.04107404465392046,6
long,2024-10-08 00:00:00+00:00,2024-10-09 00:00:00+00:00,2603.0,2551.5856584821427,3117.1434151785716,51.41434151785734,2024-10-11 00:00:00+00:00,2657.60009765625,RSI exit,1.0467740336138975,2
long,2024-11-06 00:00:00+00:00,2024-11-07 00:00:00+00:00,2662.5,2609.314278738839,3194.357212611607,53.18572126116078,2024-11-12 00:00:00+00:00,2605.5,SL,-1.086734345787803,3
long,2024-11-13 00:00:00+00:00,2024-11-14 00:00:00+00:00,2555.10009765625,2494.785818917411,3158.242885044643,60.31427873883922,2024-11-18 00:00:00+00:00,2610.60009765625,RSI exit,0.9074711845216454,2
long,2024-12-18 00:00:00+00:00,2024-12-19 00:00:00+00:00,2582.10009765625,2512.6856863839284,3276.244210379464,69.41441127232156,2024-12-26 00:00:00+00:00,2638.800048828125,RSI exit,0.8056730600678292,4
long,2025-02-28 00:00:00+00:00,2025-03-03 00:00:00+00:00,2872.699951171875,2787.3857770647323,3725.8416922433034,85.31417410714266,2025-03-04 00:00:00+00:00,2909.60009765625,RSI exit,0.42241909830556795,1
long,2025-04-04 00:00:00+00:00,2025-04-07 00:00:00+00:00,3016.39990234375,2928.8998674665177,3891.4002511160716,87.50003487723234,2025-04-09 00:00:00+00:00,3056.5,RSI exit,0.44794470928543056,2
long,2025-05-01 00:00:00+00:00,2025-05-02 00:00:00+00:00,3239.89990234375,3083.5998883928573,4802.900041852678,156.30001395089266,2025-05-05 00:00:00+00:00,3311.300048828125,RSI exit,0.4505960987041207,1
long,2025-06-24 00:00:00+00:00,2025-06-25 00:00:00+00:00,3321.60009765625,3224.5572335379466,4292.028738839285,97.04286411830344,2025-07-01 00:00:00+00:00,3336.699951171875,RSI exit,0.14533138128667475,4
long,2025-07-08 00:00:00+00:00,2025-07-09 00:00:00+00:00,3289.39990234375,3209.242850167411,4090.970424107143,80.15705217633922,2025-07-11 00:00:00+00:00,3356.0,RSI exit,0.8185590151344739,2
long,2025-07-28 00:00:00+00:00,2025-07-29 00:00:00+00:00,3323.39990234375,3254.5428292410716,4011.970633370536,68.85707310267844,2025-08-01 00:00:00+00:00,3347.699951171875,RSI exit,0.33842607313082873,3
long,2025-08-19 00:00:00+00:00,2025-08-20 00:00:00+00:00,3310.60009765625,3231.5285993303573,4101.315080915178,79.07149832589266,2025-08-22 00:00:00+00:00,3374.39990234375,RSI exit,0.7943016888252962,2
long,2026-02-02 00:00:00+00:00,2026-02-03 00:00:00+00:00,4680.0,4305.071498325893,8429.285016741072,374.9285016741069,2026-02-06 00:00:00+00:00,4951.2001953125,RSI exit,0.7195937201568384,3
long,2026-03-16 00:00:00+00:00,2026-03-17 00:00:00+00:00,5017.60009765625,4811.699986049107,7076.601213727678,205.90011160714312,2026-03-19 00:00:00+00:00,4811.699986049107,SL,-1.0073107295452512,2
long,2026-03-20 00:00:00+00:00,2026-03-23 00:00:00+00:00,4353.0,4109.357073102678,6789.429268973214,243.64292689732156,2026-03-31 00:00:00+00:00,4647.60009765625,RSI exit,1.2037870394647368,6
long,2026-04-28 00:00:00+00:00,2026-04-29 00:00:00+00:00,4598.60009765625,4458.857142857143,5996.029645647322,139.74295479910688,2026-05-06 00:00:00+00:00,4681.89990234375,RSI exit,0.5862207849831917,5
long,2026-05-15 00:00:00+00:00,2026-05-18 00:00:00+00:00,4563.0,4408.599888392857,6107.001116071428,154.40011160714312,2026-05-28 00:00:00+00:00,4408.599888392857,SL,-1.0088659262338038,7
