direction,day,entry_time,entry,sl,tp1,tp2,orig_risk,or_high,or_low,exit_time,exit,reason,r_multiple,half_closed
long,2026-06-26,2026-06-26 10:00:00-04:00,29464.5,29181.5,29747.5,30030.5,283.0,29464.5,29181.5,2026-06-26 15:45:00-04:00,29317.75,EOD flatten,-0.5341684628975265,False
long,2026-06-29,2026-06-29 11:45:00-04:00,29840.0,29557.0,30123.0,30406.0,283.0,29840.0,29557.0,2026-06-29 15:45:00-04:00,30047.5,EOD flatten,0.7173992932862191,False
long,2026-06-30,2026-06-30 10:00:00-04:00,30366.75,30033.0,30700.5,31034.25,333.75,30366.75,30033.0,2026-06-30 15:45:00-04:00,30514.0,EOD flatten,0.4275505243445693,False
long,2026-07-01,2026-07-01 10:00:00-04:00,30285.0,30087.75,30482.25,30679.5,197.25,30285.0,30087.75,2026-07-01 15:45:00-04:00,30087.75,SL,-1.0230304182509506,False
long,2026-07-02,2026-07-02 10:00:00-04:00,30263.0,30007.75,30518.25,30773.5,255.25,30263.0,30007.75,2026-07-02 10:15:00-04:00,30007.75,SL,-1.0177843290891282,False
long,2026-07-06,2026-07-06 10:00:00-04:00,30009.0,29776.25,30241.75,30474.5,232.75,30009.0,29776.25,2026-07-06 15:45:00-04:00,29951.0,EOD flatten,-0.2685342642320086,False
long,2026-07-08,2026-07-08 13:15:00-04:00,29399.0,29201.0,29597.0,29795.0,198.0,29399.0,29201.0,2026-07-08 15:45:00-04:00,29457.75,EOD flatten,0.274445202020202,False
long,2026-07-09,2026-07-09 13:00:00-04:00,29931.25,29672.0,30190.5,30449.75,259.25,29931.25,29672.0,2026-07-09 15:45:00-04:00,29948.0,EOD flatten,0.047291465766634525,False
long,2026-07-10,2026-07-10 11:15:00-04:00,29968.5,29798.0,30139.0,30309.5,170.5,29968.5,29798.0,2026-07-10 15:45:00-04:00,30037.25,EOD flatten,0.3768605571847507,False
long,2026-07-13,2026-07-13 11:00:00-04:00,29737.25,29518.0,29956.5,30175.75,219.25,29737.25,29518.0,2026-07-13 12:30:00-04:00,29518.0,SL,-1.0203447548460662,False
long,2026-07-14,2026-07-14 10:30:00-04:00,29815.75,29685.0,29946.5,30077.25,130.75,29815.75,29685.0,2026-07-14 10:45:00-04:00,29685.0,SL,-1.034205449330784,False
long,2026-07-17,2026-07-17 10:00:00-04:00,28686.0,28686.0,28963.75,29241.5,277.75,28686.0,28408.25,2026-07-17 15:45:00-04:00,28764.25,Partial TP1 + EOD,0.625372097209721,True
long,2026-07-21,2026-07-21 10:45:00-04:00,29246.25,29092.5,29400.0,29553.75,153.75,29246.25,29092.5,2026-07-21 15:45:00-04:00,29310.75,EOD flatten,0.3909792682926829,False
long,2026-07-22,2026-07-22 10:00:00-04:00,29277.25,29090.0,29464.5,29651.75,187.25,29277.25,29090.0,2026-07-22 15:45:00-04:00,29160.5,EOD flatten,-0.6469510680907877,False
long,2026-07-24,2026-07-24 12:00:00-04:00,28622.0,28313.5,28930.5,29239.0,308.5,28622.0,28313.5,2026-07-24 14:30:00-04:00,28313.5,SL,-1.0139166936790924,False
long,2026-07-28,2026-07-28 11:15:00-04:00,27992.0,27641.75,28342.25,28692.5,350.25,27992.0,27641.75,2026-07-28 15:45:00-04:00,27919.5,EOD flatten,-0.21898301213418986,False
long,2026-07-29,2026-07-29 14:45:00-04:00,27996.0,27667.75,28324.25,28652.5,328.25,27996.0,27667.75,2026-07-29 15:15:00-04:00,27667.75,SL,-1.0127932977913177,False
long,2026-07-30,2026-07-30 10:00:00-04:00,28162.25,27813.25,28511.25,28860.25,349.0,28162.25,27813.25,2026-07-30 15:45:00-04:00,28230.75,EOD flatten,0.18417095272206302,False
long,2026-08-03,2026-08-03 10:15:00-04:00,28628.0,28628.0,28942.5,29257.0,314.5,28628.0,28313.5,2026-08-03 15:45:00-04:00,28900.25,Partial TP1 + EOD,0.9191758346581876,True
long,2026-08-04,2026-08-04 10:00:00-04:00,29503.75,29503.75,29799.25,30094.75,295.5,29503.75,29208.25,2026-08-04 15:45:00-04:00,29876.75,Partial TP1 + EOD,1.1161571489001691,True
long,2026-08-06,2026-08-06 10:00:00-04:00,29551.0,29241.25,29860.75,30170.5,309.75,29551.0,29241.25,2026-08-06 15:45:00-04:00,29497.25,EOD flatten,-0.18783744955609363,False
long,2026-08-07,2026-08-07 11:15:00-04:00,29820.0,29643.75,29996.25,30172.5,176.25,29820.0,29643.75,2026-08-07 15:45:00-04:00,29834.25,EOD flatten,0.055472340425531924,False
long,2026-08-10,2026-08-10 10:00:00-04:00,29841.75,29718.75,29964.75,30087.75,123.0,29841.75,29718.75,2026-08-10 15:45:00-04:00,29744.25,EOD flatten,-0.8290753048780488,False
long,2026-08-13,2026-08-13 10:00:00-04:00,30182.25,29863.5,30501.0,30819.75,318.75,30182.25,29863.5,2026-08-13 15:45:00-04:00,30194.0,EOD flatten,0.022659333333333337,False
long,2026-08-17,2026-08-17 11:00:00-04:00,30266.0,30165.5,30366.5,30467.0,100.5,30266.0,30165.5,2026-08-17 13:00:00-04:00,30165.5,SL,-1.0451731343283581,False
long,2026-08-21,2026-08-21 11:45:00-04:00,29476.0,29255.75,29696.25,29916.5,220.25,29476.0,29255.75,2026-08-21 15:45:00-04:00,29395.25,EOD flatten,-0.38670329171396145,False
long,2026-08-26,2026-08-26 15:00:00-04:00,29332.75,29174.25,29491.25,29649.75,158.5,29332.75,29174.25,2026-08-26 15:45:00-04:00,29297.25,EOD flatten,-0.2517344637223975,False
long,2026-08-27,2026-08-27 10:15:00-04:00,29605.0,29423.75,29786.25,29967.5,181.25,29605.0,29423.75,2026-08-27 15:45:00-04:00,29691.75,EOD flatten,0.45411999999999997,False
long,2026-08-28,2026-08-28 10:00:00-04:00,29703.25,29562.75,29843.75,29984.25,140.5,29703.25,29562.75,2026-08-28 10:15:00-04:00,29534.75,SL,-1.0317116548042704,False
long,2026-08-31,2026-08-31 15:45:00-04:00,29516.75,29387.75,29645.75,29774.75,129.0,29516.75,29387.75,2026-08-31 15:45:00-04:00,29506.0,EOD flatten,-0.11765513565891472,False
long,2026-09-01,2026-09-01 10:00:00-04:00,29158.0,29158.0,29275.75,29393.5,117.75,29158.0,29040.25,2026-09-01 12:30:00-04:00,29158.0,Partial TP1 + SL,0.46285605095541404,True
long,2026-09-02,2026-09-02 10:00:00-04:00,29119.0,29017.25,29220.75,29322.5,101.75,29119.0,29017.25,2026-09-02 15:45:00-04:00,29190.25,EOD flatten,0.6573184275184275,False
