direction,day,entry_time,entry,sl,tp1,tp2,orig_risk,or_high,or_low,exit_time,exit,reason,r_multiple,half_closed
long,2024-09-09,2024-09-09 13:00:00-04:00,18720.75,18516.5,18925.0,19129.25,204.25,18720.75,18516.5,2024-09-09 15:00:00-04:00,18688.5,EOD flatten,-0.17164314565483474,False
long,2024-09-10,2024-09-10 14:00:00-04:00,18817.0,18673.25,18960.75,19104.5,143.75,18817.0,18673.25,2024-09-10 15:00:00-04:00,18855.75,EOD flatten,0.24993008695652175,False
long,2024-09-11,2024-09-11 11:00:00-04:00,18816.5,18816.5,19086.0,19355.5,269.5,18816.5,18547.0,2024-09-11 15:00:00-04:00,19254.75,Partial TP1 + EOD,1.302606771799629,True
long,2024-09-12,2024-09-12 11:00:00-04:00,19366.25,19221.5,19511.0,19655.75,144.75,19366.25,19221.5,2024-09-12 15:00:00-04:00,19451.0,EOD flatten,0.5654235751295337,False
long,2024-09-13,2024-09-13 11:00:00-04:00,19534.25,19413.25,19655.25,19776.25,121.0,19534.25,19413.25,2024-09-13 15:00:00-04:00,19527.5,EOD flatten,-0.08000113636363637,False
long,2024-09-18,2024-09-18 13:00:00-04:00,19488.0,19411.25,19564.75,19641.5,76.75,19488.0,19411.25,2024-09-18 14:00:00-04:00,19411.25,SL (conflict),-1.038087296416938,False
long,2024-09-19,2024-09-19 12:00:00-04:00,19921.75,19765.0,20078.5,20235.25,156.75,19921.75,19765.0,2024-09-19 15:00:00-04:00,19844.0,EOD flatten,-0.51507663476874,False
long,2024-09-24,2024-09-24 11:00:00-04:00,20092.75,19953.0,20232.5,20372.25,139.75,20092.75,19953.0,2024-09-24 15:00:00-04:00,20170.0,EOD flatten,0.531206350626118,False
long,2024-09-30,2024-09-30 11:00:00-04:00,20221.25,20127.5,20315.0,20408.75,93.75,20221.25,20127.5,2024-09-30 14:00:00-04:00,20127.5,SL,-1.032354,False
long,2024-10-01,2024-10-01 14:00:00-04:00,20078.25,19866.25,20290.25,20502.25,212.0,20078.25,19866.25,2024-10-01 15:00:00-04:00,19978.75,EOD flatten,-0.48354593160377357,False
long,2024-10-02,2024-10-02 11:00:00-04:00,20056.75,19905.5,20208.0,20359.25,151.25,20056.75,19905.5,2024-10-02 15:00:00-04:00,20009.25,EOD flatten,-0.3339405785123967,False
long,2024-10-04,2024-10-04 11:00:00-04:00,20129.25,20129.25,20245.25,20361.25,116.0,20129.25,20013.25,2024-10-04 15:00:00-04:00,20227.0,Partial TP1 + EOD,0.8953070043103448,True
long,2024-10-08,2024-10-08 14:00:00-04:00,20273.75,20155.25,20392.25,20510.75,118.5,20273.75,20155.25,2024-10-08 15:00:00-04:00,20300.0,EOD flatten,0.19585601265822783,False
long,2024-10-09,2024-10-09 11:00:00-04:00,20363.75,20363.75,20464.25,20564.75,100.5,20363.75,20263.25,2024-10-09 15:00:00-04:00,20458.5,Partial TP1 + EOD,0.9409993781094527,True
long,2024-10-10,2024-10-10 11:00:00-04:00,20420.0,20420.0,20486.25,20552.5,66.25,20420.0,20353.75,2024-10-10 13:00:00-04:00,20420.0,Partial TP1 + SL,0.45376603773584906,True
