direction,signal_time,entry_time,entry,sl,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,1928-10-16 00:00:00+00:00,1928-10-17 00:00:00+00:00,21.790000915527344,21.677999782562257,0.19300003051757741,1928-10-26 00:00:00+00:00,21.649999618530273,SL/Trail,-0.7366853606568421,7
long,1928-10-29 00:00:00+00:00,1928-10-30 00:00:00+00:00,21.760000228881836,23.77300081253052,0.24799995422363352,1928-12-06 00:00:00+00:00,22.90999984741211,SL/Trail,4.628321896673969,25
long,1928-12-31 00:00:00+00:00,1929-01-02 00:00:00+00:00,24.809999465942383,24.30699920654297,0.5030002593994141,1929-01-07 00:00:00+00:00,24.25,SL/Trail,-1.1182508465514167,3
long,1929-01-22 00:00:00+00:00,1929-01-23 00:00:00+00:00,25.219999313354492,25.280500507354738,0.4120000839233384,1929-02-07 00:00:00+00:00,24.709999084472656,SL/Trail,-1.2439857388682893,11
long,1929-03-15 00:00:00+00:00,1929-03-18 00:00:00+00:00,26.040000915527344,25.561001205444335,0.47899971008300923,1929-03-22 00:00:00+00:00,25.549999237060547,SL/Trail,-1.0284049618171636,4
long,1929-04-22 00:00:00+00:00,1929-04-23 00:00:00+00:00,25.850000381469727,25.899000644683838,0.6150001525878892,1929-05-13 00:00:00+00:00,25.639999389648438,SL/Trail,-0.3456681936823675,14
long,1929-06-17 00:00:00+00:00,1929-06-18 00:00:00+00:00,26.420000076293945,28.311500549316406,0.6659996032714837,1929-07-29 00:00:00+00:00,28.18000030517578,SL/Trail,2.6386775911604388,28
long,1929-07-31 00:00:00+00:00,1929-08-01 00:00:00+00:00,29.079999923706055,28.93599977493286,0.3739997863769524,1929-08-09 00:00:00+00:00,28.3799991607666,SL/Trail,-1.8794362685099655,6
long,1929-08-14 00:00:00+00:00,1929-08-15 00:00:00+00:00,29.670000076293945,30.978000164031982,0.6280002593994141,1929-09-24 00:00:00+00:00,30.799999237060547,SL/Trail,1.794636457374724,27
long,1930-04-07 00:00:00+00:00,1930-04-08 00:00:00+00:00,25.459999084472656,25.169998931884766,0.4850006103515625,1930-04-21 00:00:00+00:00,25.290000915527344,Donchian exit,-0.3557607251848356,8
long,1932-08-08 00:00:00+00:00,1932-08-09 00:00:00+00:00,7.389999866485596,7.063500118255615,0.3829999923706051,1932-08-12 00:00:00+00:00,7.0,SL/Trail,-1.0202059380046953,3
long,1932-08-16 00:00:00+00:00,1932-08-17 00:00:00+00:00,7.510000228881836,8.677000737190246,0.4920000076293949,1932-09-12 00:00:00+00:00,8.149999618530273,SL/Trail,1.2992853246194889,17
long,1932-11-10 00:00:00+00:00,1932-11-11 00:00:00+00:00,7.679999828338623,7.239999914169312,0.43999991416931117,1932-11-16 00:00:00+00:00,7.199999809265137,SL/Trail,-1.0926548019082603,3
long,1933-01-04 00:00:00+00:00,1933-01-05 00:00:00+00:00,7.119999885559082,7.040000009536743,0.20900006294250506,1933-01-18 00:00:00+00:00,6.949999809265137,SL/Trail,-0.8168039467503094,9
long,1933-03-15 00:00:00+00:00,1933-03-16 00:00:00+00:00,6.929999828338623,6.555999803543091,0.3740000247955324,1933-03-20 00:00:00+00:00,6.5,SL/Trail,-1.1515850261157567,2
long,1933-04-19 00:00:00+00:00,1933-04-20 00:00:00+00:00,7.820000171661377,7.552000188827515,0.26799998283386195,1933-04-21 00:00:00+00:00,7.440000057220459,SL/Trail,-1.4208288762993608,1
long,1933-04-24 00:00:00+00:00,1933-04-25 00:00:00+00:00,7.71999979019165,10.326000881195068,0.40000000000000036,1933-06-15 00:00:00+00:00,9.739999771118164,SL/Trail,5.048069952368732,36
long,1933-06-27 00:00:00+00:00,1933-06-28 00:00:00+00:00,10.84000015258789,11.60300030708313,0.4999999046325687,1933-07-19 00:00:00+00:00,11.600000381469727,SL/Trail,1.5178327472367747,14
