direction,signal_time,entry_time,entry,sl,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,1928-10-16 00:00:00+00:00,1928-10-17 00:00:00+00:00,21.790000915527344,21.677999782562257,0.19300003051757741,1928-10-26 00:00:00+00:00,21.649999618530273,SL/Trail,-0.7366853606568421,7
long,1928-10-29 00:00:00+00:00,1928-10-30 00:00:00+00:00,21.760000228881836,23.77300081253052,0.24799995422363352,1928-12-06 00:00:00+00:00,22.90999984741211,SL/Trail,4.628321896673969,25
long,1928-12-31 00:00:00+00:00,1929-01-02 00:00:00+00:00,24.809999465942383,24.30699920654297,0.5030002593994141,1929-01-07 00:00:00+00:00,24.25,SL/Trail,-1.1182508465514167,3
long,1929-01-22 00:00:00+00:00,1929-01-23 00:00:00+00:00,25.219999313354492,25.280500507354738,0.4120000839233384,1929-02-07 00:00:00+00:00,24.709999084472656,SL/Trail,-1.2439857388682893,11
long,1929-03-15 00:00:00+00:00,1929-03-18 00:00:00+00:00,26.040000915527344,25.561001205444335,0.47899971008300923,1929-03-22 00:00:00+00:00,25.549999237060547,SL/Trail,-1.0284049618171636,4
long,1929-04-22 00:00:00+00:00,1929-04-23 00:00:00+00:00,25.850000381469727,25.899000644683838,0.6150001525878892,1929-05-13 00:00:00+00:00,25.639999389648438,SL/Trail,-0.3456681936823675,14
long,1929-06-17 00:00:00+00:00,1929-06-18 00:00:00+00:00,26.420000076293945,28.311500549316406,0.6659996032714837,1929-07-29 00:00:00+00:00,28.18000030517578,SL/Trail,2.6386775911604388,28
long,1929-07-31 00:00:00+00:00,1929-08-01 00:00:00+00:00,29.079999923706055,28.93599977493286,0.3739997863769524,1929-08-09 00:00:00+00:00,28.3799991607666,SL/Trail,-1.8794362685099655,6
long,1929-08-14 00:00:00+00:00,1929-08-15 00:00:00+00:00,29.670000076293945,30.978000164031982,0.6280002593994141,1929-09-24 00:00:00+00:00,30.799999237060547,SL/Trail,1.794636457374724,27
short,1929-10-23 00:00:00+00:00,1929-10-24 00:00:00+00:00,25.75,23.035501289367676,1.1890003204345696,1929-10-31 00:00:00+00:00,24.149999618530273,SL/Trail,1.3435029024095477,5
short,1929-11-11 00:00:00+00:00,1929-11-12 00:00:00+00:00,18.729999542236328,20.992999839782716,2.2630002975463874,1929-11-20 00:00:00+00:00,21.270000457763672,SL/Trail,-1.123231807895714,6
short,1929-12-20 00:00:00+00:00,1929-12-23 00:00:00+00:00,20.260000228881836,21.019000244140624,0.7590000152587884,1929-12-31 00:00:00+00:00,21.450000762939453,SL/Trail,-1.5705224112203375,5
long,1930-04-07 00:00:00+00:00,1930-04-08 00:00:00+00:00,25.459999084472656,25.169998931884766,0.4850006103515625,1930-04-21 00:00:00+00:00,25.290000915527344,Donchian exit,-0.3557607251848356,8
short,1930-05-01 00:00:00+00:00,1930-05-02 00:00:00+00:00,23.56999969482422,23.708999633789062,0.3970001220703132,1930-05-06 00:00:00+00:00,23.760000228881836,SL/Trail,-0.48452764453566316,2
short,1930-06-09 00:00:00+00:00,1930-06-10 00:00:00+00:00,23.010000228881836,20.740000534057618,0.5230003356933608,1930-07-10 00:00:00+00:00,20.770000457763672,SL/Trail,4.278579990065736,21
short,1930-08-08 00:00:00+00:00,1930-08-11 00:00:00+00:00,20.399999618530273,20.779998874664308,0.6200000762939446,1930-08-20 00:00:00+00:00,20.850000381469727,SL/Trail,-0.7290979149605649,7
short,1930-09-22 00:00:00+00:00,1930-09-23 00:00:00+00:00,20.440000534057617,19.371500301361085,0.39200000762939524,1930-10-01 00:00:00+00:00,19.420000076293945,SL/Trail,2.5968276476990857,6
short,1930-10-08 00:00:00+00:00,1930-10-09 00:00:00+00:00,17.670000076293945,16.555499887466432,0.636000251770021,1930-11-13 00:00:00+00:00,16.559999465942383,SL/Trail,1.7425049868449938,23
