direction,entry_time,entry,sl,tp1,tp2,orig_risk,exit_time,exit,reason,r_multiple,crt_high,crt_low,half_closed
long,2022-09-27 00:00:00+00:00,11333.75,11200.119642857142,11397.125,11537.75,133.63035714285797,2022-09-28 00:00:00+00:00,11200.119642857142,SL (same-bar conflict),-1.0,11537.75,11256.5,False
long,2022-09-29 00:00:00+00:00,11228.25,11056.989285714286,11377.5,11613.5,171.26071428571413,2022-09-30 00:00:00+00:00,11056.989285714286,SL,-1.0,11613.5,11141.5,False
short,2022-10-03 00:00:00+00:00,11285.75,11395.019642857143,11190.75,11024.25,109.26964285714348,2022-10-04 00:00:00+00:00,11395.019642857143,SL,-1.0,11357.25,11024.25,False
short,2022-10-05 00:00:00+00:00,11623.75,11623.75,11478.25,11281.5,122.61964285714203,2022-10-07 00:00:00+00:00,11281.5,TP1+TP2,1.9888738404182638,11675.0,11281.5,True
long,2022-10-19 00:00:00+00:00,11153.25,11010.203571428572,11256.625,11431.75,143.0464285714279,2022-10-20 00:00:00+00:00,11010.203571428572,SL (same-bar conflict),-1.0,11431.75,11081.5,False
long,2022-10-26 00:00:00+00:00,11446.0,11378.223214285714,11582.125,11734.0,67.77678571428623,2022-10-27 00:00:00+00:00,11378.223214285714,SL,-1.0,11734.0,11430.25,False
short,2022-11-22 00:00:00+00:00,11754.5,11793.971428571429,11654.5,11553.0,39.47142857142899,2022-11-23 00:00:00+00:00,11793.971428571429,SL,-1.0,11756.0,11553.0,False
short,2022-12-01 00:00:00+00:00,12062.75,12062.75,11788.125,11497.75,113.375,2022-12-07 00:00:00+00:00,11497.75,TP1+TP2,3.702866593164278,12078.5,11497.75,True
long,2022-12-14 00:00:00+00:00,11750.75,11585.776785714286,11955.0,12229.5,164.97321428571377,2022-12-15 00:00:00+00:00,11585.776785714286,SL,-1.0,12229.5,11680.5,False
long,2022-12-16 00:00:00+00:00,11327.0400390625,11175.123214285713,11538.875,11779.5,151.9168247767866,2022-12-19 00:00:00+00:00,11175.123214285713,SL,-1.0,11779.5,11298.25,False
short,2023-01-24 00:00:00+00:00,11909.5,11909.5,11816.75,11650.5,127.65714285714239,2023-01-25 00:00:00+00:00,11650.5,TP1+TP2,1.3777137421665224,11983.0,11650.5,True
long,2023-02-22 00:00:00+00:00,12097.5,12097.5,12254.0,12417.75,95.19464285714275,2023-02-24 00:00:00+00:00,12097.5,Partial TP1 + BE,0.822000037517118,12417.75,12090.25,True
short,2023-03-06 00:00:00+00:00,12323.5,12323.5,12170.5,12012.0,188.0142857142855,2023-03-09 00:00:00+00:00,12323.5,Partial TP1 + BE,0.40688397538181037,12329.0,12012.0,True
short,2023-03-17 00:00:00+00:00,12594.650390625,12664.153571428571,12394.875,12189.25,69.50318080357101,2023-03-20 00:00:00+00:00,12664.153571428571,SL,-1.0,12600.5,12189.25,False
short,2023-04-10 00:00:00+00:00,13158.0,13158.0,13072.125,12953.25,68.8589285714279,2023-04-12 00:00:00+00:00,13158.0,Partial TP1 + BE,0.623557480355806,13191.0,12953.25,True
short,2023-04-14 00:00:00+00:00,13181.25,13181.25,13076.75,12925.5,96.00357142857138,2023-04-18 00:00:00+00:00,13181.25,Partial TP1 + BE,0.5442505859157029,13228.0,12925.5,True
long,2023-04-20 00:00:00+00:00,13074.25,13001.0375,13145.875,13226.75,73.21249999999964,2023-04-21 00:00:00+00:00,13001.0375,SL,-1.0,13226.75,13065.0,False
short,2023-04-28 00:00:00+00:00,13320.25,13357.7875,13134.5,12936.0,37.537500000000364,2023-05-01 00:00:00+00:00,13357.7875,SL,-1.0,13333.0,12936.0,False
short,2023-05-08 00:00:00+00:00,13352.25,13388.985714285714,13207.375,13055.75,36.735714285714494,2023-05-10 00:00:00+00:00,13388.985714285714,SL (same-bar conflict),-1.0,13359.0,13055.75,False
short,2023-05-11 00:00:00+00:00,13446.5,13490.939285714287,13324.75,13202.75,44.4392857142866,2023-05-12 00:00:00+00:00,13490.939285714287,SL (same-bar conflict),-1.0,13446.75,13202.75,False
short,2023-05-19 00:00:00+00:00,13858.0,13978.435714285713,13770.625,13628.25,120.4357142857134,2023-05-23 00:00:00+00:00,13978.435714285713,SL (same-bar conflict),-1.0,13913.0,13628.25,False
short,2023-06-28 00:00:00+00:00,15130.0,15245.694642857143,15000.75,14862.25,115.69464285714275,2023-06-30 00:00:00+00:00,15245.694642857143,SL,-1.0,15139.25,14862.25,False
short,2023-07-03 00:00:00+00:00,15364.75,15417.144642857143,15237.875,15099.0,52.39464285714348,2023-07-05 00:00:00+00:00,15417.144642857143,SL,-1.0,15376.75,15099.0,False
short,2023-07-17 00:00:00+00:00,15840.75,15904.19642857143,15760.125,15663.0,63.44642857142935,2023-07-18 00:00:00+00:00,15904.19642857143,SL (same-bar conflict),-1.0,15857.25,15663.0,False
short,2023-07-19 00:00:00+00:00,15959.25,15959.25,15881.375,15733.0,124.49107142857065,2023-07-20 00:00:00+00:00,15733.0,TP1+TP2,1.2214731406440584,16029.75,15733.0,True
long,2023-07-24 00:00:00+00:00,15561.25,15561.25,15620.75,15719.25,99.28392857142899,2023-07-25 00:00:00+00:00,15719.25,TP1+TP2,1.0953434414287981,15719.25,15522.25,True
long,2023-07-27 00:00:00+00:00,15571.0,15571.0,15627.125,15739.25,81.75535714285797,2023-07-28 00:00:00+00:00,15739.25,TP1+TP2,1.372234235414878,15739.25,15515.0,True
short,2023-07-31 00:00:00+00:00,15857.5,15857.5,15721.125,15546.25,84.36249999999927,2023-08-02 00:00:00+00:00,15546.25,TP1+TP2,2.652985627500393,15896.0,15546.25,True
long,2023-08-03 00:00:00+00:00,15438.75,15438.75,15601.875,15789.75,123.90535714285761,2023-08-07 00:00:00+00:00,15438.75,Partial TP1 + BE,0.6582645164079702,15789.75,15414.0,True
long,2023-08-10 00:00:00+00:00,15201.25,15111.794642857143,15289.5,15432.5,89.45535714285688,2023-08-11 00:00:00+00:00,15111.794642857143,SL,-1.0,15432.5,15146.5,False
long,2023-08-18 00:00:00+00:00,14744.0,14744.0,14878.25,15018.25,159.6410714285721,2023-08-22 00:00:00+00:00,15018.25,TP1+TP2,1.2794326558462568,15018.25,14738.25,True
long,2023-08-25 00:00:00+00:00,14979.25,14979.25,15117.5,15418.0,255.94464285714275,2023-08-29 00:00:00+00:00,15418.0,TP1+TP2,1.1271968687425438,15418.0,14817.0,True
long,2023-09-12 00:00:00+00:00,15304.75,15263.5,15397.75,15497.5,41.25,2023-09-13 00:00:00+00:00,15263.5,SL (same-bar conflict),-1.0,15497.5,15298.0,False
