direction,entry_time,entry,sl,tp1,tp2,orig_risk,exit_time,exit,reason,r_multiple,crt_high,crt_low,half_closed
long,2022-09-27 00:00:00+00:00,11333.75,11200.119642857142,11397.125,11537.75,133.63035714285797,2022-09-28 00:00:00+00:00,11200.119642857142,SL (same-bar conflict),-1.0,11537.75,11256.5,False
short,2022-10-05 00:00:00+00:00,11623.75,11623.75,11478.25,11281.5,122.61964285714203,2022-10-07 00:00:00+00:00,11281.5,TP1+TP2,1.9888738404182638,11675.0,11281.5,True
short,2022-11-18 00:00:00+00:00,11708.0,11708.0,11677.875,11528.25,170.57142857142935,2022-11-22 00:00:00+00:00,11708.0,Partial TP1 + BE,0.08830611390284716,11827.5,11528.25,True
short,2022-12-01 00:00:00+00:00,12062.75,12062.75,11788.125,11497.75,113.375,2022-12-07 00:00:00+00:00,11497.75,TP1+TP2,3.702866593164278,12078.5,11497.75,True
short,2023-01-24 00:00:00+00:00,11909.5,11909.5,11816.75,11650.5,127.65714285714239,2023-01-25 00:00:00+00:00,11650.5,TP1+TP2,1.3777137421665224,11983.0,11650.5,True
long,2023-03-08 00:00:00+00:00,12228.25,12084.051785714286,12261.75,12381.25,144.19821428571413,2023-03-09 00:00:00+00:00,12084.051785714286,SL (same-bar conflict),-1.0,12381.25,12142.25,False
short,2023-04-10 00:00:00+00:00,13158.0,13158.0,13072.125,12953.25,68.8589285714279,2023-04-12 00:00:00+00:00,13158.0,Partial TP1 + BE,0.623557480355806,13191.0,12953.25,True
short,2023-04-14 00:00:00+00:00,13181.25,13181.25,13076.75,12925.5,96.00357142857138,2023-04-18 00:00:00+00:00,13181.25,Partial TP1 + BE,0.5442505859157029,13228.0,12925.5,True
short,2023-05-01 00:00:00+00:00,13306.75,13306.75,13252.5,13169.0,84.7964285714279,2023-05-02 00:00:00+00:00,13169.0,TP1+TP2,1.13212315208694,13336.0,13169.0,True
short,2023-05-19 00:00:00+00:00,13858.0,13978.435714285713,13770.625,13628.25,120.4357142857134,2023-05-23 00:00:00+00:00,13978.435714285713,SL (same-bar conflict),-1.0,13913.0,13628.25,False
long,2023-06-06 00:00:00+00:00,14586.5,14480.807142857142,14603.75,14694.75,105.69285714285797,2023-06-07 00:00:00+00:00,14480.807142857142,SL (same-bar conflict),-1.0,14694.75,14512.75,False
short,2023-07-14 00:00:00+00:00,15694.25,15879.1,15598.875,15456.5,184.85000000000036,2023-07-17 00:00:00+00:00,15879.1,SL,-1.0,15741.25,15456.5,False
long,2023-07-24 00:00:00+00:00,15561.25,15561.25,15620.75,15719.25,99.28392857142899,2023-07-25 00:00:00+00:00,15719.25,TP1+TP2,1.0953434414287981,15719.25,15522.25,True
short,2023-08-22 00:00:00+00:00,14958.5,15144.569642857143,14867.125,14720.5,186.06964285714275,2023-08-23 00:00:00+00:00,15144.569642857143,SL,-1.0,15013.75,14720.5,False
long,2023-08-25 00:00:00+00:00,14979.25,14979.25,15117.5,15418.0,255.94464285714275,2023-08-29 00:00:00+00:00,15418.0,TP1+TP2,1.1271968687425438,15418.0,14817.0,True
long,2023-09-18 00:00:00+00:00,15414.5,15310.8,15462.625,15524.0,103.70000000000073,2023-09-19 00:00:00+00:00,15310.8,SL,-1.0,15524.0,15401.25,False
long,2023-09-22 00:00:00+00:00,14869.5,14815.816071428571,14995.0,15149.0,53.68392857142862,2023-09-25 00:00:00+00:00,14815.816071428571,SL,-1.0,15149.0,14841.0,False
long,2023-09-27 00:00:00+00:00,14739.0,14739.0,14807.625,14949.0,173.77499999999964,2023-09-29 00:00:00+00:00,14949.0,TP1+TP2,0.8016832110487717,14949.0,14666.25,True
short,2023-10-05 00:00:00+00:00,14861.75,14983.435714285713,14772.5,14589.0,121.6857142857134,2023-10-06 00:00:00+00:00,14983.435714285713,SL (same-bar conflict),-1.0,14956.0,14589.0,False
short,2023-11-15 00:00:00+00:00,15889.25,16074.494642857142,15735.375,15552.0,185.24464285714203,2023-11-20 00:00:00+00:00,16074.494642857142,SL,-1.0,15918.75,15552.0,False
short,2023-12-14 00:00:00+00:00,16541.5,16695.126785714285,16479.25,16365.5,153.62678571428478,2023-12-18 00:00:00+00:00,16695.126785714285,SL,-1.0,16593.0,16365.5,False
short,2024-01-22 00:00:00+00:00,17458.5,17611.383928571428,17289.25,17107.25,152.88392857142753,2024-01-24 00:00:00+00:00,17611.383928571428,SL,-1.0,17471.25,17107.25,False
long,2024-01-25 00:00:00+00:00,17634.5,17517.4875,17672.875,17793.5,117.01250000000073,2024-01-26 00:00:00+00:00,17517.4875,SL,-1.0,17793.5,17552.25,False
short,2024-02-23 00:00:00+00:00,17991.0,17991.0,17881.5,17676.0,181.69464285714275,2024-02-29 00:00:00+00:00,17991.0,Partial TP1 + BE,0.3013297427984552,18087.0,17676.0,True
short,2024-03-04 00:00:00+00:00,18262.0,18262.0,18201.125,18029.5,143.42499999999927,2024-03-05 00:00:00+00:00,18029.5,TP1+TP2,1.0227470803555918,18372.75,18029.5,True
long,2024-04-16 00:00:00+00:00,17881.25,17762.048214285714,18096.125,18350.75,119.2017857142855,2024-04-17 00:00:00+00:00,17762.048214285714,SL,-1.0,18350.75,17841.5,False
short,2024-04-24 00:00:00+00:00,17664.5,17664.5,17476.125,17286.25,166.25535714285797,2024-04-26 00:00:00+00:00,17664.5,Partial TP1 + BE,0.5665230980741731,17666.0,17286.25,True
short,2024-05-16 00:00:00+00:00,18650.0,18650.0,18550.0,18393.0,136.3892857142855,2024-05-20 00:00:00+00:00,18650.0,Partial TP1 + BE,0.3665977113828595,18707.0,18393.0,True
short,2024-06-06 00:00:00+00:00,19060.25,19148.973214285714,18893.375,18696.25,88.72321428571377,2024-06-07 00:00:00+00:00,19148.973214285714,SL,-1.0,19090.5,18696.25,False
long,2024-07-12 00:00:00+00:00,20524.0,20524.0,20680.5,20983.75,215.41428571428696,2024-07-16 00:00:00+00:00,20524.0,Partial TP1 + BE,0.36325353140128447,20983.75,20377.25,True
short,2024-07-23 00:00:00+00:00,19925.0,19925.0,19881.75,19718.75,192.44821428571595,2024-07-24 00:00:00+00:00,19718.75,TP1+TP2,0.6482263317590019,20044.75,19718.75,True
short,2024-08-20 00:00:00+00:00,19809.5,19988.0125,19698.5,19525.25,178.51250000000073,2024-08-22 00:00:00+00:00,19988.0125,SL (same-bar conflict),-1.0,19871.75,19525.25,False
long,2024-08-29 00:00:00+00:00,19393.25,19393.25,19459.125,19691.0,286.3089285714268,2024-09-03 00:00:00+00:00,19393.25,Partial TP1 + BE,0.11504181921376207,19691.0,19227.25,True
short,2024-10-03 00:00:00+00:00,19990.25,20143.387430245537,19961.875,19833.5,153.13743024553696,2024-10-04 00:00:00+00:00,20143.387430245537,SL (same-bar conflict),-1.0,20090.25,19833.5,False
short,2024-10-10 00:00:00+00:00,20429.75,20429.75,20339.375,20196.0,107.9249302455355,2024-10-14 00:00:00+00:00,20429.75,Partial TP1 + BE,0.41869380779024645,20482.75,20196.0,True
long,2024-10-16 00:00:00+00:00,20349.5,20349.5,20456.625,20659.25,173.81785714285797,2024-10-18 00:00:00+00:00,20349.5,Partial TP1 + BE,0.30815303375865394,20659.25,20254.0,True
short,2024-11-20 00:00:00+00:00,20749.0,20876.67142857143,20587.5,20382.5,127.67142857142971,2024-11-21 00:00:00+00:00,20876.67142857143,SL (same-bar conflict),-1.0,20792.5,20382.5,False
short,2024-12-05 00:00:00+00:00,21473.25,21598.371428571427,21427.125,21305.75,125.1214285714268,2024-12-06 00:00:00+00:00,21598.371428571427,SL (same-bar conflict),-1.0,21548.5,21305.75,False
short,2024-12-26 00:00:00+00:00,22008.0,22008.0,21879.375,21709.0,141.1197823660732,2024-12-27 00:00:00+00:00,21709.0,TP1+TP2,1.515113589428288,22049.75,21709.0,True
short,2025-01-29 00:00:00+00:00,21523.25,21739.005357142858,21392.75,21159.5,215.75535714285797,2025-01-30 00:00:00+00:00,21739.005357142858,SL,-1.0,21626.0,21159.5,False
long,2025-03-31 00:00:00+00:00,19439.5,19439.5,19684.625,20011.75,509.9156389508935,2025-04-02 00:00:00+00:00,20011.75,TP1+TP2,0.8014806151873249,20011.75,19357.5,True
short,2025-05-20 00:00:00+00:00,21447.25,21447.25,21328.5,21112.5,157.61249999999927,2025-05-21 00:00:00+00:00,21112.5,TP1+TP2,1.4386549290189614,21544.5,21112.5,True
long,2025-05-22 00:00:00+00:00,21178.25,21000.9125,21315.625,21558.5,177.33750000000146,2025-05-23 00:00:00+00:00,21000.9125,SL,-1.0,21558.5,21072.75,False
short,2025-05-28 00:00:00+00:00,21379.75,21608.45357142857,21221.375,20954.25,228.70357142857029,2025-05-29 00:00:00+00:00,21608.45357142857,SL,-1.0,21488.5,20954.25,False
long,2025-05-30 00:00:00+00:00,21376.75,21376.75,21579.875,21858.75,345.65000000000146,2025-06-05 00:00:00+00:00,21858.75,TP1+TP2,0.9910675538839825,21858.75,21301.0,True
long,2025-06-18 00:00:00+00:00,21720.25,21605.285714285714,21818.5,21952.0,114.96428571428623,2025-06-20 00:00:00+00:00,21605.285714285714,SL (same-bar conflict),-1.0,21952.0,21685.0,False
short,2025-07-18 00:00:00+00:00,23224.25,23344.616071428572,23148.375,23017.0,120.36607142857247,2025-07-21 00:00:00+00:00,23344.616071428572,SL,-1.0,23279.75,23017.0,False
short,2025-07-24 00:00:00+00:00,23377.5,23447.27142857143,23282.375,23146.75,69.77142857142826,2025-07-25 00:00:00+00:00,23447.27142857143,SL,-1.0,23418.0,23146.75,False
long,2025-07-30 00:00:00+00:00,23480.5,23335.123214285715,23536.875,23652.5,145.37678571428478,2025-07-31 00:00:00+00:00,23335.123214285715,SL (same-bar conflict),-1.0,23652.5,23421.25,False
short,2025-08-05 00:00:00+00:00,23132.0,23433.566071428573,23087.125,22821.75,301.5660714285732,2025-08-06 00:00:00+00:00,23433.566071428573,SL (same-bar conflict),-1.0,23352.5,22821.75,False
long,2025-08-18 00:00:00+00:00,23797.75,23684.914285714287,23848.75,23963.0,112.83571428571304,2025-08-19 00:00:00+00:00,23684.914285714287,SL,-1.0,23963.0,23734.5,False
short,2025-09-05 00:00:00+00:00,23684.0,23934.2,23559.375,23410.0,250.20000000000073,2025-09-10 00:00:00+00:00,23934.2,SL,-1.0,23708.75,23410.0,False
short,2025-09-16 00:00:00+00:00,24284.0,24284.0,24195.75,24076.0,147.96071428571304,2025-09-17 00:00:00+00:00,24076.0,TP1+TP2,1.0011103333413875,24315.5,24076.0,True
short,2025-10-09 00:00:00+00:00,25289.25,25289.25,25195.5,25026.25,132.9637834821442,2025-10-10 00:00:00+00:00,25026.25,TP1+TP2,1.3415307185806282,25364.75,25026.25,True
short,2025-10-21 00:00:00+00:00,25294.75,25294.75,25155.125,24955.75,119.24107142857247,2025-10-22 00:00:00+00:00,24955.75,TP1+TP2,2.006963684013461,25354.5,24955.75,True
short,2025-11-11 00:00:00+00:00,25640.75,25815.719642857144,25514.75,25269.0,174.9696428571442,2025-11-12 00:00:00+00:00,25815.719642857144,SL (same-bar conflict),-1.0,25760.5,25269.0,False
