direction,entry_time,entry,sl,tp1,tp2,orig_risk,exit_time,exit,reason,r_multiple,crt_high,crt_low,half_closed
short,2024-09-09 19:00:00+00:00,18688.5,18688.5,18609.0,18497.25,58.43035714285725,2024-09-10 08:00:00+00:00,18688.5,Partial TP1 + BE,0.6802970569359115,18720.75,18497.25,True
short,2024-09-11 16:00:00+00:00,18912.75,18954.64285714286,18737.25,18547.0,41.8928571428587,2024-09-11 17:00:00+00:00,18954.64285714286,SL,-1.0,18927.5,18547.0,False
short,2024-09-13 16:00:00+00:00,19542.5,19575.55,19471.125,19398.25,33.04999999999927,2024-09-13 17:00:00+00:00,19575.55,SL,-1.0,19544.0,19398.25,False
short,2024-09-16 08:00:00+00:00,19527.5,19527.5,19507.0,19481.5,24.400000000001455,2024-09-16 10:00:00+00:00,19481.5,TP1+TP2,1.3627049180327055,19532.5,19481.5,True
short,2024-09-17 08:00:00+00:00,19508.75,19526.9625,19464.625,19415.25,18.212500000001455,2024-09-17 09:00:00+00:00,19526.9625,SL,-1.0,19514.0,19415.25,False
short,2024-09-17 12:00:00+00:00,19562.5,19562.5,19532.125,19496.25,34.81071428571522,2024-09-17 13:00:00+00:00,19496.25,TP1+TP2,1.3878629321842246,19568.0,19496.25,True
short,2024-09-18 12:00:00+00:00,19490.75,19490.75,19458.5,19422.5,14.549999999999272,2024-09-18 14:00:00+00:00,19422.5,TP1+TP2,3.453608247422853,19494.5,19422.5,True
short,2024-09-19 08:00:00+00:00,19699.5,19718.366071428572,19656.0,19606.5,18.866071428572468,2024-09-19 09:00:00+00:00,19718.366071428572,SL,-1.0,19705.5,19606.5,False
short,2024-09-19 16:00:00+00:00,19921.5,19950.801785714284,19824.5,19727.25,29.30178571428405,2024-09-19 17:00:00+00:00,19950.801785714284,SL,-1.0,19921.75,19727.25,False
long,2024-09-19 20:00:00+00:00,19828.25,19797.97142857143,19897.0,19966.25,30.278571428571013,2024-09-19 22:00:00+00:00,19797.97142857143,SL,-1.0,19966.25,19827.75,False
short,2024-09-20 07:00:00+00:00,19829.0,19829.0,19810.5,19788.25,18.27142857142826,2024-09-20 08:00:00+00:00,19788.25,TP1+TP2,1.621383893666955,19832.75,19788.25,True
short,2024-09-20 12:00:00+00:00,19827.0,19827.0,19787.375,19746.5,23.93571428571522,2024-09-20 20:00:00+00:00,19827.0,Partial TP1 + BE,0.8277379886600691,19828.25,19746.5,True
