direction,entry_time,entry,sl,tp1,tp2,orig_risk,exit_time,exit,reason,r_multiple,crt_high,crt_low,half_closed
short,2024-09-19 18:00:00+00:00,19911.75,19911.75,19824.5,19727.25,68.05178571428405,2024-09-20 20:00:00+00:00,19911.75,Partial TP1 + BE,0.6410559185494397,19921.75,19727.25,True
short,2024-09-24 09:00:00+00:00,20131.5,20131.5,20099.375,20045.0,56.99821428571522,2024-09-24 13:00:00+00:00,20131.5,Partial TP1 + BE,0.2818070741564539,20153.75,20045.0,True
short,2024-09-26 11:00:00+00:00,20484.25,20515.276785714286,20430.0,20360.25,31.026785714286234,2024-09-26 12:00:00+00:00,20515.276785714286,SL,-1.0,20499.75,20360.25,False
long,2024-09-27 16:00:00+00:00,20261.5,20197.842857142856,20313.625,20395.75,63.65714285714421,2024-09-27 18:00:00+00:00,20197.842857142856,SL,-1.0,20395.75,20231.5,False
short,2024-10-01 08:00:00+00:00,20270.0,20303.369642857142,20252.5,20215.0,33.369642857142026,2024-10-01 10:00:00+00:00,20303.369642857142,SL,-1.0,20290.0,20215.0,False
long,2024-10-03 17:00:00+00:00,19962.75,19962.75,20004.125,20113.5,99.2678571428587,2024-10-03 20:00:00+00:00,19962.75,Partial TP1 + BE,0.208400791509261,20113.5,19894.75,True
short,2024-10-07 15:00:00+00:00,20150.25,20150.25,20111.5,20058.0,48.628571428573196,2024-10-07 17:00:00+00:00,20150.25,Partial TP1 + BE,0.3984283196239573,20165.0,20058.0,True
short,2024-10-08 12:00:00+00:00,20065.0,20115.448214285716,20043.5,19986.0,50.44821428571595,2024-10-08 13:00:00+00:00,20115.448214285716,SL,-1.0,20101.0,19986.0,False
short,2024-10-10 16:00:00+00:00,20438.75,20438.75,20390.0,20301.5,79.61249999999927,2024-10-10 18:00:00+00:00,20438.75,Partial TP1 + BE,0.3061705134244022,20478.5,20301.5,True
long,2024-10-11 10:00:00+00:00,20382.25,20382.25,20412.625,20453.5,36.72678571428696,2024-10-11 13:00:00+00:00,20382.25,Partial TP1 + BE,0.41352652307092486,20453.5,20371.75,True
short,2024-10-11 19:00:00+00:00,20449.75,20449.75,20397.875,20314.75,53.78035714285579,2024-10-14 07:00:00+00:00,20449.75,Partial TP1 + BE,0.48228575223297027,20481.0,20314.75,True
short,2024-10-14 08:00:00+00:00,20464.0,20491.52142857143,20435.125,20403.25,27.52142857142826,2024-10-14 10:00:00+00:00,20491.52142857143,SL,-1.0,20467.0,20403.25,False
long,2024-10-15 07:00:00+00:00,20602.25,20579.72142857143,20613.625,20637.25,22.528571428571013,2024-10-15 08:00:00+00:00,20579.72142857143,SL,-1.0,20637.25,20590.0,False
long,2024-10-15 19:00:00+00:00,20343.5,20244.6125,20495.25,20659.25,98.88750000000073,2024-10-16 13:00:00+00:00,20244.6125,SL,-1.0,20659.25,20331.25,False
short,2024-10-16 19:00:00+00:00,20347.0,20347.0,20292.375,20206.25,42.42499999999927,2024-10-17 05:00:00+00:00,20347.0,Partial TP1 + BE,0.6437831467295337,20378.5,20206.25,True
short,2024-10-18 08:00:00+00:00,20448.75,20478.508928571428,20408.625,20361.5,29.758928571427532,2024-10-18 11:00:00+00:00,20478.508928571428,SL,-1.0,20455.75,20361.5,False
short,2024-10-22 15:00:00+00:00,20473.25,20473.25,20425.625,20375.75,54.55357142857247,2024-10-22 17:00:00+00:00,20473.25,Partial TP1 + BE,0.436497545008175,20475.5,20375.75,True
short,2024-10-24 08:00:00+00:00,20373.0,20412.316071428573,20347.25,20306.5,39.316071428573196,2024-10-24 11:00:00+00:00,20412.316071428573,SL,-1.0,20388.0,20306.5,False
short,2024-10-25 10:00:00+00:00,20430.0,20455.898214285713,20401.875,20364.75,25.89821428571304,2024-10-25 11:00:00+00:00,20455.898214285713,SL,-1.0,20439.0,20364.75,False
long,2024-10-28 16:00:00+00:00,20530.25,20505.744642857142,20593.125,20665.75,24.505357142857974,2024-10-28 18:00:00+00:00,20505.744642857142,SL,-1.0,20665.75,20520.5,False
long,2024-10-31 09:00:00+00:00,20320.75,20320.75,20363.25,20419.25,44.70892857142826,2024-10-31 13:00:00+00:00,20320.75,Partial TP1 + BE,0.47529656108959073,20419.25,20307.25,True
long,2024-10-31 18:00:00+00:00,20048.25,20048.25,20220.125,20417.0,52.38750000000073,2024-11-04 14:00:00+00:00,20048.25,Partial TP1 + BE,1.6404199475065389,20417.0,20023.25,True
short,2024-11-05 18:00:00+00:00,20308.75,20384.630357142858,20214.375,20107.5,75.88035714285797,2024-11-05 21:00:00+00:00,20384.630357142858,SL,-1.0,20321.25,20107.5,False
short,2024-11-06 10:00:00+00:00,20685.0,20685.0,20584.5,20457.75,60.375,2024-11-06 12:00:00+00:00,20685.0,Partial TP1 + BE,0.8322981366459627,20711.25,20457.75,True
short,2024-11-07 20:00:00+00:00,21221.75,21221.75,21178.625,21124.25,46.77321428571304,2024-11-08 11:00:00+00:00,21124.25,TP1+TP2,1.5032642309014261,21233.0,21124.25,True
short,2024-11-08 17:00:00+00:00,21217.75,21247.010714285716,21194.25,21156.25,29.26071428571595,2024-11-08 18:00:00+00:00,21247.010714285716,SL,-1.0,21232.25,21156.25,False
long,2024-11-11 18:00:00+00:00,21179.75,21179.75,21248.5,21340.75,90.0803571428587,2024-11-12 09:00:00+00:00,21179.75,Partial TP1 + BE,0.3816037268311957,21340.75,21156.25,True
long,2024-11-13 12:00:00+00:00,21132.25,21132.25,21151.75,21183.5,25.992857142857247,2024-11-13 13:00:00+00:00,21183.5,TP1+TP2,1.3609508106622643,21183.5,21120.0,True
long,2024-11-14 19:00:00+00:00,21069.25,21007.2125,21111.75,21183.0,62.037499999998545,2024-11-14 20:00:00+00:00,21007.2125,SL,-1.0,21183.0,21040.5,False
short,2024-11-18 16:00:00+00:00,20662.25,20662.25,20588.625,20481.5,74.73392857142971,2024-11-19 13:00:00+00:00,20481.5,TP1+TP2,1.7018709230364606,20695.75,20481.5,True
short,2024-11-20 07:00:00+00:00,20825.5,20825.5,20803.625,20773.0,26.674999999999272,2024-11-20 09:00:00+00:00,20825.5,Partial TP1 + BE,0.4100281162136944,20834.25,20773.0,True
short,2024-11-21 20:00:00+00:00,20823.25,20823.25,20778.625,20688.0,72.53571428571377,2024-11-22 02:00:00+00:00,20823.25,Partial TP1 + BE,0.30760709010339954,20869.25,20688.0,True
short,2024-11-22 18:00:00+00:00,20846.75,20846.75,20797.625,20722.25,49.900000000001455,2024-11-22 20:00:00+00:00,20846.75,Partial TP1 + BE,0.4922344689378614,20873.0,20722.25,True
short,2024-11-26 07:00:00+00:00,20877.5,20935.04464285714,20831.5,20755.25,57.5446428571413,2024-11-26 11:00:00+00:00,20935.04464285714,SL,-1.0,20907.75,20755.25,False
short,2024-11-26 13:00:00+00:00,20942.5,20965.78392857143,20899.25,20852.0,23.283928571428987,2024-11-26 14:00:00+00:00,20965.78392857143,SL,-1.0,20946.5,20852.0,False
long,2024-11-27 17:00:00+00:00,20743.0,20743.0,20850.25,20970.75,79.0482142857145,2024-11-29 15:30:00+00:00,20970.75,TP1+TP2,2.1189599475907506,20970.75,20729.75,True
short,2024-12-03 18:00:00+00:00,21232.0,21269.85714285714,21184.125,21134.25,37.8571428571413,2024-12-03 20:00:00+00:00,21269.85714285714,SL,-1.0,21234.0,21134.25,False
short,2024-12-04 14:00:00+00:00,21417.5,21463.882142857143,21386.875,21345.5,46.38214285714275,2024-12-04 15:00:00+00:00,21463.882142857143,SL,-1.0,21428.25,21345.5,False
short,2024-12-04 16:00:00+00:00,21473.25,21473.25,21440.0,21388.25,30.933928571426804,2024-12-04 19:00:00+00:00,21473.25,Partial TP1 + BE,0.53743577902214,21491.75,21388.25,True
short,2024-12-06 07:00:00+00:00,21476.0,21492.469642857144,21461.875,21442.25,16.46964285714421,2024-12-06 08:00:00+00:00,21492.469642857144,SL,-1.0,21481.5,21442.25,False
short,2024-12-06 19:00:00+00:00,21635.5,21676.123214285715,21542.75,21440.25,40.62321428571522,2024-12-09 07:00:00+00:00,21676.123214285715,SL,-1.0,21645.25,21440.25,False
long,2024-12-09 14:00:00+00:00,21623.25,21575.60357142857,21646.125,21706.25,47.64642857142826,2024-12-09 15:00:00+00:00,21575.60357142857,SL,-1.0,21706.25,21586.0,False
long,2024-12-09 16:00:00+00:00,21510.25,21510.25,21576.0,21648.75,82.19642857142753,2024-12-10 15:00:00+00:00,21510.25,Partial TP1 + BE,0.3999565500760424,21648.75,21503.25,True
short,2024-12-11 10:00:00+00:00,21447.75,21463.97857142857,21428.125,21405.75,16.22857142857174,2024-12-11 13:00:00+00:00,21463.97857142857,SL,-1.0,21450.5,21405.75,False
