direction,entry_time,entry,sl,tp1,tp2,orig_risk,exit_time,exit,reason,r_multiple,crt_high,crt_low,half_closed
long,2026-06-30 08:00:00+00:00,30089.0,30039.67142857143,30143.125,30217.0,49.328571428570285,2026-06-30 08:30:00+00:00,30039.67142857143,SL,-1.0,30217.0,30069.25,False
long,2026-06-30 12:30:00+00:00,30048.5,30048.5,30097.125,30175.5,69.98035714285652,2026-06-30 13:30:00+00:00,30175.5,TP1+TP2,1.2548164025619546,30175.5,30018.75,True
long,2026-07-01 07:45:00+00:00,30374.0,30276.210714285713,30460.75,30553.75,97.78928571428696,2026-07-01 12:30:00+00:00,30276.210714285713,SL,-1.0,30553.75,30367.75,False
long,2026-07-01 20:45:00+00:00,30064.25,29986.351785714287,30169.125,30284.25,77.89821428571304,2026-07-02 00:00:00+00:00,29986.351785714287,SL,-1.0,30284.25,30054.0,False
long,2026-07-02 14:45:00+00:00,29840.25,29709.282142857144,29953.125,30079.0,130.9678571428558,2026-07-02 15:00:00+00:00,29709.282142857144,SL,-1.0,30079.0,29827.25,False
short,2026-07-06 09:00:00+00:00,29853.75,29911.26607142857,29789.625,29703.0,57.516071428570285,2026-07-06 11:45:00+00:00,29911.26607142857,SL,-1.0,29876.25,29703.0,False
short,2026-07-06 12:15:00+00:00,29893.25,29893.25,29847.5,29780.0,70.1392857142855,2026-07-06 13:30:00+00:00,29893.25,Partial TP1 + BE,0.3261367686745771,29915.0,29780.0,True
short,2026-07-06 16:00:00+00:00,30070.5,30070.5,29930.0,29776.25,50.891071428570285,2026-07-07 01:15:00+00:00,29776.25,TP1+TP2,4.2713779430858185,30083.75,29776.25,True
short,2026-07-07 12:15:00+00:00,29688.0,29688.0,29650.25,29591.25,53.33571428571304,2026-07-07 13:15:00+00:00,29591.25,TP1+TP2,1.2608812106602678,29709.25,29591.25,True
short,2026-07-08 17:30:00+00:00,29388.5,29484.116071428572,29216.5,29034.0,95.61607142857247,2026-07-08 19:45:00+00:00,29484.116071428572,SL,-1.0,29399.0,29034.0,False
short,2026-07-09 08:15:00+00:00,29699.25,29699.25,29584.625,29462.5,64.28928571428696,2026-07-09 11:45:00+00:00,29699.25,Partial TP1 + BE,0.8914782512082489,29706.75,29462.5,True
short,2026-07-09 19:00:00+00:00,29916.0,29916.0,29772.875,29614.5,105.40714285714421,2026-07-10 13:30:00+00:00,29916.0,Partial TP1 + BE,0.6789150911431776,29931.25,29614.5,True
long,2026-07-13 17:00:00+00:00,29541.0,29441.85714285714,29622.875,29757.25,99.1428571428587,2026-07-13 19:15:00+00:00,29441.85714285714,SL,-1.0,29757.25,29488.5,False
short,2026-07-14 11:30:00+00:00,29620.5,29691.09642857143,29510.5,29371.25,70.59642857142899,2026-07-14 12:15:00+00:00,29691.09642857143,SL,-1.0,29649.75,29371.25,False
long,2026-07-15 11:30:00+00:00,29928.25,29928.25,29995.25,30062.5,77.44821428571595,2026-07-15 13:30:00+00:00,29928.25,Partial TP1 + BE,0.4325470936800995,30062.5,29928.0,True
long,2026-07-15 17:00:00+00:00,29532.25,29532.25,29763.125,29999.75,157.0803571428587,2026-07-16 08:00:00+00:00,29532.25,Partial TP1 + BE,0.7348945603364901,29999.75,29526.5,True
long,2026-07-16 08:30:00+00:00,29551.0,29456.717857142856,29672.75,29797.0,94.28214285714421,2026-07-16 11:15:00+00:00,29456.717857142856,SL,-1.0,29797.0,29548.5,False
long,2026-07-16 18:15:00+00:00,29269.75,29194.9,29393.75,29532.0,74.84999999999854,2026-07-16 19:00:00+00:00,29194.9,SL,-1.0,29532.0,29255.5,False
short,2026-07-17 16:15:00+00:00,28913.5,28982.95,28678.375,28408.25,69.45000000000073,2026-07-17 16:45:00+00:00,28982.95,SL,-1.0,28948.5,28408.25,False
long,2026-07-17 20:15:00+00:00,28749.75,28749.75,28884.375,29050.25,65.66428571428696,2026-07-20 11:30:00+00:00,29050.25,TP1+TP2,3.3132546502773224,29050.25,28718.5,True
long,2026-07-20 20:30:00+00:00,28771.25,28724.51607142857,28943.375,29119.0,46.733928571429715,2026-07-20 22:00:00+00:00,28724.51607142857,SL,-1.0,29119.0,28767.75,False
short,2026-07-21 09:45:00+00:00,29155.0,29220.789285714287,29089.25,29016.5,65.78928571428696,2026-07-21 13:15:00+00:00,29220.789285714287,SL,-1.0,29162.0,29016.5,False
short,2026-07-21 19:00:00+00:00,29309.25,29309.25,29192.125,29064.25,79.92142857142971,2026-07-22 06:15:00+00:00,29064.25,TP1+TP2,2.265506300831141,29320.0,29064.25,True
long,2026-07-22 11:45:00+00:00,29054.0,28997.192857142858,29132.125,29238.5,56.807142857142026,2026-07-22 12:15:00+00:00,28997.192857142858,SL,-1.0,29238.5,29025.75,False
long,2026-07-23 11:45:00+00:00,28965.0,28892.40357142857,29052.75,29183.25,72.59642857142899,2026-07-23 12:15:00+00:00,28892.40357142857,SL,-1.0,29183.25,28922.25,False
short,2026-07-23 20:30:00+00:00,28736.0,28736.0,28612.25,28486.25,69.40178571428623,2026-07-24 03:45:00+00:00,28486.25,TP1+TP2,2.690852952527961,28738.25,28486.25,True
short,2026-07-24 10:30:00+00:00,28646.5,28646.5,28572.0,28481.0,84.33392857142826,2026-07-24 13:30:00+00:00,28481.0,TP1+TP2,1.4229148580261344,28663.0,28481.0,True
long,2026-07-24 19:30:00+00:00,28274.0,28274.0,28476.5,28698.5,87.75714285714275,2026-07-26 23:45:00+00:00,28698.5,TP1+TP2,3.572358782353903,28698.5,28254.5,True
short,2026-07-27 09:00:00+00:00,28725.5,28725.5,28664.875,28597.75,50.7321428571413,2026-07-27 13:15:00+00:00,28597.75,TP1+TP2,1.8565645899331793,28732.0,28597.75,True
short,2026-07-28 16:00:00+00:00,28007.5,28007.5,27833.0,27603.5,91.77321428571304,2026-07-28 23:30:00+00:00,28007.5,Partial TP1 + BE,0.9507131321386311,28062.5,27603.5,True
short,2026-07-29 10:45:00+00:00,27948.0,27948.0,27801.375,27640.0,142.25714285714275,2026-07-29 14:00:00+00:00,27640.0,TP1+TP2,1.5978986744326182,27962.75,27640.0,True
long,2026-07-29 16:15:00+00:00,27551.0,27551.0,27736.125,28007.75,175.15178571428623,2026-07-29 18:45:00+00:00,28007.75,TP1+TP2,1.8323392975480397,28007.75,27464.5,True
long,2026-07-30 07:00:00+00:00,27475.75,27380.05,27584.0,27696.75,95.70000000000073,2026-07-30 07:30:00+00:00,27380.05,SL,-1.0,27696.75,27471.25,False
short,2026-07-30 09:30:00+00:00,27543.5,27621.451785714286,27448.75,27351.25,77.9517857142855,2026-07-30 10:15:00+00:00,27621.451785714286,SL,-1.0,27546.25,27351.25,False
short,2026-07-30 12:15:00+00:00,27740.25,27802.739285714284,27541.375,27337.5,62.48928571428405,2026-07-30 12:30:00+00:00,27802.739285714284,SL,-1.0,27745.25,27337.5,False
short,2026-07-30 19:15:00+00:00,28244.5,28335.66964285714,27971.125,27695.75,91.1696428571413,2026-07-30 20:00:00+00:00,28335.66964285714,SL,-1.0,28246.5,27695.75,False
short,2026-07-31 09:15:00+00:00,28589.25,28589.25,28530.875,28450.0,86.70000000000073,2026-07-31 10:45:00+00:00,28589.25,Partial TP1 + BE,0.33664936562860154,28611.75,28450.0,True
long,2026-08-03 12:00:00+00:00,28434.75,28356.826785714286,28502.25,28601.0,77.9232142857145,2026-08-03 13:30:00+00:00,28356.826785714286,SL (same-bar conflict),-1.0,28601.0,28403.5,False
short,2026-08-04 10:15:00+00:00,29096.75,29154.691071428573,29043.875,28968.5,57.941071428573196,2026-08-04 11:15:00+00:00,29154.691071428573,SL,-1.0,29119.25,28968.5,False
long,2026-08-05 09:15:00+00:00,29861.25,29861.25,29924.875,29990.0,85.51607142857029,2026-08-05 13:30:00+00:00,29990.0,TP1+TP2,1.1247885735764105,29990.0,29859.75,True
long,2026-08-05 15:30:00+00:00,29819.25,29741.59107142857,29870.625,29943.5,77.65892857142899,2026-08-05 15:45:00+00:00,29741.59107142857,SL,-1.0,29943.5,29797.75,False
long,2026-08-05 16:15:00+00:00,29829.25,29678.442857142858,29893.625,30074.0,150.80714285714203,2026-08-05 19:45:00+00:00,29678.442857142858,SL,-1.0,30074.0,29713.25,False
long,2026-08-05 20:30:00+00:00,29598.5,29506.839285714286,29716.25,29839.75,91.66071428571377,2026-08-06 01:00:00+00:00,29506.839285714286,SL,-1.0,29839.75,29592.75,False
long,2026-08-06 09:30:00+00:00,29489.25,29416.008928571428,29542.5,29600.0,73.24107142857247,2026-08-06 11:00:00+00:00,29416.008928571428,SL,-1.0,29600.0,29485.0,False
long,2026-08-11 08:15:00+00:00,29733.0,29733.0,29794.875,29861.75,29.06428571428478,2026-08-11 11:00:00+00:00,29861.75,TP1+TP2,3.279368395183197,29861.75,29728.0,True
long,2026-08-11 17:30:00+00:00,29634.25,29557.648214285713,29751.625,29871.5,76.60178571428696,2026-08-11 18:15:00+00:00,29557.648214285713,SL,-1.0,29871.5,29631.75,False
short,2026-08-12 12:00:00+00:00,29830.0,29871.76607142857,29798.25,29748.25,41.766071428570285,2026-08-12 12:15:00+00:00,29871.76607142857,SL,-1.0,29848.25,29748.25,False
short,2026-08-13 19:00:00+00:00,30238.75,30238.75,30039.875,29812.25,48.746428571426804,2026-08-17 01:15:00+00:00,30238.75,Partial TP1 + BE,2.039893032456664,30267.5,29812.25,True
short,2026-08-17 10:30:00+00:00,30310.5,30310.5,30281.0,30230.5,44.964285714286234,2026-08-17 12:15:00+00:00,30230.5,TP1+TP2,1.2176330420968882,30331.5,30230.5,True
long,2026-08-17 20:45:00+00:00,30078.25,30043.626785714285,30154.875,30243.25,34.62321428571522,2026-08-18 01:30:00+00:00,30043.626785714285,SL,-1.0,30243.25,30066.5,False
long,2026-08-18 12:45:00+00:00,29713.0,29668.475,29750.75,29814.25,44.525000000001455,2026-08-18 13:30:00+00:00,29668.475,SL (same-bar conflict),-1.0,29814.25,29687.25,False
short,2026-08-19 09:00:00+00:00,29593.5,29593.5,29518.5,29430.5,61.214285714286234,2026-08-19 12:30:00+00:00,29593.5,Partial TP1 + BE,0.6126021003500531,29606.5,29430.5,True
long,2026-08-20 13:15:00+00:00,29350.75,29222.707142857143,29477.125,29605.5,128.04285714285652,2026-08-20 18:00:00+00:00,29222.707142857143,SL,-1.0,29605.5,29348.75,False
long,2026-08-20 18:45:00+00:00,29243.75,29243.75,29355.125,29470.25,58.92857142857247,2026-08-21 09:30:00+00:00,29470.25,TP1+TP2,2.866818181818131,29470.25,29240.0,True
long,2026-08-24 20:30:00+00:00,29100.25,29064.475,29164.375,29233.25,35.775000000001455,2026-08-25 00:00:00+00:00,29064.475,SL,-1.0,29233.25,29095.5,False
long,2026-08-25 14:30:00+00:00,29219.25,29120.755357142858,29319.0,29425.75,98.49464285714203,2026-08-26 00:45:00+00:00,29120.755357142858,SL,-1.0,29425.75,29212.25,False
