direction,signal_time,entry_time,entry,sl,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2001-12-05 00:00:00+00:00,2001-12-06 00:00:00+00:00,1719.0,1599.05,119.95000000000005,2001-12-13 00:00:00+00:00,1599.05,SL/Trail,-1.0042992913714048,5
long,2002-11-25 00:00:00+00:00,2002-11-26 00:00:00+00:00,1127.0,1046.05,80.95000000000005,2002-12-06 00:00:00+00:00,1046.05,SL/Trail,-1.0041766522544782,8
long,2003-04-22 00:00:00+00:00,2003-04-23 00:00:00+00:00,1106.5,1206.1130065917969,57.5,2003-08-05 00:00:00+00:00,1216.0,Donchian exit,1.8985747826086958,73
long,2003-09-01 00:00:00+00:00,2003-09-02 00:00:00+00:00,1341.0,1332.20498046875,49.049999999999955,2003-09-25 00:00:00+00:00,1332.20498046875,SL/Trail,-0.1875090628185545,17
long,2003-12-29 00:00:00+00:00,2003-12-30 00:00:00+00:00,1469.5,1492.4,50.25,2004-01-28 00:00:00+00:00,1492.4,SL/Trail,0.4469482587064695,20
long,2004-10-01 00:00:00+00:00,2004-10-04 00:00:00+00:00,1456.0,1568.125,42.496997070312545,2005-01-05 00:00:00+00:00,1568.125,SL/Trail,2.628143344227559,66
long,2005-05-26 00:00:00+00:00,2005-05-27 00:00:00+00:00,1549.0,1514.5,39.799999999999955,2005-06-15 00:00:00+00:00,1514.5,SL/Trail,-0.8785100502512573,12
long,2005-07-14 00:00:00+00:00,2005-07-15 00:00:00+00:00,1584.0,1573.175,41.84999999999991,2005-08-22 00:00:00+00:00,1573.175,SL/Trail,-0.27001672640382485,26
long,2005-11-10 00:00:00+00:00,2005-11-11 00:00:00+00:00,1656.5,1658.55,47.5,2005-12-29 00:00:00+00:00,1668.0,Donchian exit,0.23164315789473686,33
long,2006-01-05 00:00:00+00:00,2006-01-06 00:00:00+00:00,1722.5,1706.5,42.25,2006-01-20 00:00:00+00:00,1706.5,SL/Trail,-0.3909289940828402,10
long,2006-04-06 00:00:00+00:00,2006-04-07 00:00:00+00:00,1753.25,1707.5969970703125,45.653002929687545,2006-04-17 00:00:00+00:00,1707.5969970703125,SL/Trail,-1.011521147925583,5
long,2006-09-15 00:00:00+00:00,2006-09-18 00:00:00+00:00,1653.0,1755.5625,43.25,2007-01-03 00:00:00+00:00,1755.5625,SL/Trail,2.359921387283237,74
long,2007-01-11 00:00:00+00:00,2007-01-12 00:00:00+00:00,1850.5,1795.775,54.72499999999991,2007-01-22 00:00:00+00:00,1795.775,SL/Trail,-1.0101443581544085,5
long,2007-04-20 00:00:00+00:00,2007-04-23 00:00:00+00:00,1862.5,1995.9,41.075000000000045,2007-07-26 00:00:00+00:00,1995.9,SL/Trail,3.234114424832622,66
long,2007-09-24 00:00:00+00:00,2007-09-25 00:00:00+00:00,2079.0,2133.3625,68.343994140625,2007-11-08 00:00:00+00:00,2133.3625,SL/Trail,0.7862987915138075,32
