direction,signal_time,entry_time,entry,sl,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2001-10-11 00:00:00+00:00,2001-10-12 00:00:00+00:00,1412.5,1546.775,148.64799804687505,2001-12-20 00:00:00+00:00,1558.5,Donchian exit,0.9793354226949872,48
long,2002-03-08 00:00:00+00:00,2002-03-11 00:00:00+00:00,1540.0,1437.3,102.70000000000005,2002-03-20 00:00:00+00:00,1455.0,Donchian exit,-0.8321518987341768,7
long,2002-08-19 00:00:00+00:00,2002-08-20 00:00:00+00:00,1020.5,918.65,101.85000000000002,2002-09-03 00:00:00+00:00,918.65,SL/Trail,-1.0030058910162003,10
long,2002-10-15 00:00:00+00:00,2002-10-16 00:00:00+00:00,923.0,1007.125,76.35000000000002,2002-12-09 00:00:00+00:00,1015.0,Donchian exit,1.2013503601833657,38
long,2003-01-10 00:00:00+00:00,2003-01-13 00:00:00+00:00,1090.5,1029.05,61.450000000000045,2003-01-17 00:00:00+00:00,1029.05,SL/Trail,-1.0053238405207485,4
long,2003-03-13 00:00:00+00:00,2003-03-14 00:00:00+00:00,1031.0,1089.55,55.64999999999998,2003-05-19 00:00:00+00:00,1114.0,Donchian exit,1.4859065588499558,45
long,2003-05-27 00:00:00+00:00,2003-05-28 00:00:00+00:00,1172.5,1156.15,48.049999999999955,2003-06-25 00:00:00+00:00,1189.5,Donchian exit,0.34647762747138433,20
long,2003-07-07 00:00:00+00:00,2003-07-08 00:00:00+00:00,1284.0,1221.2420043945312,62.75799560546875,2003-08-05 00:00:00+00:00,1216.0,Donchian exit,-1.0896651389236034,20
long,2003-08-19 00:00:00+00:00,2003-08-20 00:00:00+00:00,1299.5,1332.20498046875,56.950000000000045,2003-09-25 00:00:00+00:00,1332.20498046875,SL/Trail,0.5674298589771709,26
long,2003-12-29 00:00:00+00:00,2003-12-30 00:00:00+00:00,1469.5,1492.4,50.25,2004-01-28 00:00:00+00:00,1492.4,SL/Trail,0.4469482587064695,20
long,2004-04-02 00:00:00+00:00,2004-04-05 00:00:00+00:00,1493.5,1434.575,58.924999999999955,2004-04-20 00:00:00+00:00,1437.5,Donchian exit,-0.9579643614764538,10
long,2004-05-27 00:00:00+00:00,2004-05-28 00:00:00+00:00,1465.5,1452.525,55.75,2004-07-06 00:00:00+00:00,1452.525,SL/Trail,-0.2406215246636755,27
long,2004-09-02 00:00:00+00:00,2004-09-03 00:00:00+00:00,1387.0,1372.8045043945312,48.40000000000009,2004-09-27 00:00:00+00:00,1391.5,Donchian exit,0.08437809917355357,16
long,2004-10-01 00:00:00+00:00,2004-10-04 00:00:00+00:00,1456.0,1568.125,42.496997070312545,2005-01-04 00:00:00+00:00,1582.5,Donchian exit,2.966402538782321,65
long,2005-05-13 00:00:00+00:00,2005-05-16 00:00:00+00:00,1474.5,1514.5,46.700000000000045,2005-06-15 00:00:00+00:00,1514.5,SL/Trail,0.8470588865096351,21
long,2005-07-12 00:00:00+00:00,2005-07-13 00:00:00+00:00,1563.0,1573.175,43.549999999999955,2005-08-16 00:00:00+00:00,1583.0,Donchian exit,0.44847531572904753,24
long,2005-09-12 00:00:00+00:00,2005-09-13 00:00:00+00:00,1612.0,1574.55,37.450000000000045,2005-09-21 00:00:00+00:00,1574.55,SL/Trail,-1.012913217623498,6
long,2005-11-02 00:00:00+00:00,2005-11-03 00:00:00+00:00,1608.5,1658.55,50.049999999999955,2005-12-29 00:00:00+00:00,1668.0,Donchian exit,1.1791698301698312,39
long,2006-01-05 00:00:00+00:00,2006-01-06 00:00:00+00:00,1722.5,1706.5,42.25,2006-01-20 00:00:00+00:00,1706.5,SL/Trail,-0.3909289940828402,10
long,2006-04-05 00:00:00+00:00,2006-04-06 00:00:00+00:00,1746.75,1699.8219970703126,46.92800292968741,2006-04-17 00:00:00+00:00,1699.8219970703126,SL/Trail,-1.0111665736295055,6
long,2006-08-15 00:00:00+00:00,2006-08-16 00:00:00+00:00,1541.0,1755.5625,59.450000000000045,2006-12-22 00:00:00+00:00,1764.0,Donchian exit,3.7432750210260695,92
long,2007-01-11 00:00:00+00:00,2007-01-12 00:00:00+00:00,1850.5,1795.775,54.72499999999991,2007-01-22 00:00:00+00:00,1795.775,SL/Trail,-1.0101443581544085,5
long,2007-02-20 00:00:00+00:00,2007-02-21 00:00:00+00:00,1838.0,1792.725,45.27500000000009,2007-02-27 00:00:00+00:00,1792.725,SL/Trail,-1.0121789066813915,4
long,2007-04-16 00:00:00+00:00,2007-04-17 00:00:00+00:00,1847.5,1995.9,45.4010009765625,2007-07-26 00:00:00+00:00,1995.9,SL/Trail,3.2564425193251347,70
long,2007-09-04 00:00:00+00:00,2007-09-05 00:00:00+00:00,2024.75,2133.3625,86.77500000000009,2007-11-08 00:00:00+00:00,2133.3625,SL/Trail,1.2446565831172582,46
long,2007-12-26 00:00:00+00:00,2007-12-27 00:00:00+00:00,2159.75,2076.4179931640624,83.33200683593759,2008-01-02 00:00:00+00:00,2076.4179931640624,SL/Trail,-1.007775223765769,3
long,2008-03-24 00:00:00+00:00,2008-03-25 00:00:00+00:00,1819.0,1946.1125,99.50200195312505,2008-06-11 00:00:00+00:00,1946.1125,SL/Trail,1.2720025478444648,55
long,2008-08-06 00:00:00+00:00,2008-08-07 00:00:00+00:00,1896.5,1835.675,97.15000000000009,2008-08-29 00:00:00+00:00,1875.0,Donchian exit,-0.2271636644364383,16
long,2009-01-02 00:00:00+00:00,2009-01-05 00:00:00+00:00,1251.75,1159.45,92.29999999999995,2009-01-14 00:00:00+00:00,1159.45,SL/Trail,-1.0040685265438787,7
long,2009-02-06 00:00:00+00:00,2009-02-09 00:00:00+00:00,1273.0,1177.575,95.42499999999995,2009-02-18 00:00:00+00:00,1177.575,SL/Trail,-1.004002095886822,6
long,2009-03-18 00:00:00+00:00,2009-03-19 00:00:00+00:00,1209.5,1326.025,90.17499999999995,2009-05-13 00:00:00+00:00,1344.25,Donchian exit,1.4902927640698649,38
long,2009-06-01 00:00:00+00:00,2009-06-02 00:00:00+00:00,1470.0,1390.35,79.67499999999995,2009-06-22 00:00:00+00:00,1428.0,Donchian exit,-0.5326764982742394,14
long,2009-07-15 00:00:00+00:00,2009-07-16 00:00:00+00:00,1495.75,1546.025,60.0780029296875,2009-08-17 00:00:00+00:00,1566.25,Donchian exit,1.1660053860642599,22
long,2009-09-10 00:00:00+00:00,2009-09-11 00:00:00+00:00,1683.25,1650.325,64.27500000000009,2009-10-01 00:00:00+00:00,1670.5,Donchian exit,-0.20622287047841278,14
long,2009-10-20 00:00:00+00:00,2009-10-21 00:00:00+00:00,1757.25,1698.125,59.125,2009-10-27 00:00:00+00:00,1719.75,Donchian exit,-0.6431657505285412,4
long,2009-11-11 00:00:00+00:00,2009-11-12 00:00:00+00:00,1784.0,1827.1784912109374,67.17499999999995,2010-01-21 00:00:00+00:00,1841.0,Donchian exit,0.8405627093412734,46
long,2010-03-01 00:00:00+00:00,2010-03-02 00:00:00+00:00,1842.75,1981.825,59.299999999999955,2010-05-04 00:00:00+00:00,1981.825,SL/Trail,2.3359557335581815,44
long,2010-07-26 00:00:00+00:00,2010-07-27 00:00:00+00:00,1887.5,1806.5,86.72499999999991,2010-08-12 00:00:00+00:00,1806.5,SL/Trail,-0.9405159988469309,12
long,2010-09-13 00:00:00+00:00,2010-09-14 00:00:00+00:00,1919.25,2097.2625,70.25,2010-11-16 00:00:00+00:00,2097.2625,SL/Trail,2.5257896797152997,45
long,2010-12-21 00:00:00+00:00,2010-12-22 00:00:00+00:00,2233.75,2260.8125,59.15000000000009,2011-01-28 00:00:00+00:00,2260.8125,SL/Trail,0.4461939983093822,25
long,2011-02-08 00:00:00+00:00,2011-02-09 00:00:00+00:00,2362.5,2314.3375,62.34999999999991,2011-02-22 00:00:00+00:00,2321.75,Donchian exit,-0.6649358460304742,8
long,2011-04-21 00:00:00+00:00,2011-04-25 00:00:00+00:00,2373.0,2319.0375,63.19999999999982,2011-05-16 00:00:00+00:00,2334.5,Donchian exit,-0.6204414556962043,15
long,2011-07-01 00:00:00+00:00,2011-07-05 00:00:00+00:00,2355.0,2306.35,75.47800292968759,2011-08-02 00:00:00+00:00,2306.35,SL/Trail,-0.6539189973796566,20
long,2011-09-15 00:00:00+00:00,2011-09-16 00:00:00+00:00,2290.25,2157.95,132.30000000000018,2011-09-22 00:00:00+00:00,2157.95,SL/Trail,-1.0051933106575963,4
long,2011-10-14 00:00:00+00:00,2011-10-17 00:00:00+00:00,2367.25,2229.95,137.30000000000018,2011-11-17 00:00:00+00:00,2268.25,Donchian exit,-0.7262212308812809,23
long,2012-01-06 00:00:00+00:00,2012-01-09 00:00:00+00:00,2353.25,2688.4,84.22499999999991,2012-04-10 00:00:00+00:00,2688.4,SL/Trail,3.970840308696948,63
long,2012-06-19 00:00:00+00:00,2012-06-20 00:00:00+00:00,2612.0,2521.85,90.15000000000009,2012-06-25 00:00:00+00:00,2521.85,SL/Trail,-1.008692179700499,3
long,2012-07-03 00:00:00+00:00,2012-07-05 00:00:00+00:00,2641.0,2549.775,91.22499999999991,2012-07-11 00:00:00+00:00,2549.775,SL/Trail,-1.0086851192107427,4
long,2012-08-03 00:00:00+00:00,2012-08-06 00:00:00+00:00,2675.0,2788.4,93.05000000000018,2012-09-26 00:00:00+00:00,2788.4,SL/Trail,1.2100752283718417,36
long,2012-12-18 00:00:00+00:00,2012-12-19 00:00:00+00:00,2704.5,2629.275,75.22499999999991,2012-12-26 00:00:00+00:00,2629.275,SL/Trail,-1.0107856430707876,4
long,2013-01-02 00:00:00+00:00,2013-01-03 00:00:00+00:00,2739.0,2753.1625,89.17500000000018,2013-04-18 00:00:00+00:00,2753.1625,SL/Trail,0.149602467059152,72
long,2013-04-29 00:00:00+00:00,2013-04-30 00:00:00+00:00,2859.75,2934.7625,86.84999999999991,2013-06-05 00:00:00+00:00,2934.7625,SL/Trail,0.8538235463442706,25
long,2013-07-11 00:00:00+00:00,2013-07-12 00:00:00+00:00,3053.0,3050.1625,92.375,2013-08-15 00:00:00+00:00,3071.0,Donchian exit,0.1849428958051421,24
long,2013-09-09 00:00:00+00:00,2013-09-10 00:00:00+00:00,3171.5,3143.875,80.09999999999991,2013-10-08 00:00:00+00:00,3150.75,Donchian exit,-0.2709294631710365,20
long,2013-10-16 00:00:00+00:00,2013-10-17 00:00:00+00:00,3260.25,3259.95,83.75,2013-11-07 00:00:00+00:00,3319.5,Donchian exit,0.6957841791044775,15
long,2013-11-13 00:00:00+00:00,2013-11-14 00:00:00+00:00,3392.5,3426.8875,74.84999999999991,2013-12-18 00:00:00+00:00,3426.8875,SL/Trail,0.4458216432865713,23
long,2013-12-23 00:00:00+00:00,2013-12-24 00:00:00+00:00,3565.25,3496.95,68.30000000000018,2014-01-13 00:00:00+00:00,3496.95,SL/Trail,-1.0156599560761346,12
long,2014-01-15 00:00:00+00:00,2014-01-16 00:00:00+00:00,3598.5,3521.925,76.57499999999982,2014-01-27 00:00:00+00:00,3521.925,SL/Trail,-1.0140979431929482,6
long,2014-02-13 00:00:00+00:00,2014-02-14 00:00:00+00:00,3650.5,3599.25,107.5,2014-03-14 00:00:00+00:00,3627.75,Donchian exit,-0.2218153488372093,19
long,2014-05-21 00:00:00+00:00,2014-05-22 00:00:00+00:00,3631.5,3856.5125,102.34999999999991,2014-08-01 00:00:00+00:00,3856.5125,SL/Trail,2.187816805080606,49
long,2014-08-18 00:00:00+00:00,2014-08-19 00:00:00+00:00,4017.0,4001.4625,88.07499999999982,2014-09-15 00:00:00+00:00,4033.5,Donchian exit,0.17365767811524305,18
long,2014-09-19 00:00:00+00:00,2014-09-22 00:00:00+00:00,4091.75,4020.9,70.84999999999991,2014-09-25 00:00:00+00:00,4020.9,SL/Trail,-1.0173256880733945,3
long,2014-10-28 00:00:00+00:00,2014-10-29 00:00:00+00:00,4080.75,4222.1125,166.30000000000018,2014-12-09 00:00:00+00:00,4222.1125,SL/Trail,0.8426835538184007,28
long,2015-02-11 00:00:00+00:00,2015-02-12 00:00:00+00:00,4308.5,4339.075,153.19999999999982,2015-03-10 00:00:00+00:00,4339.075,SL/Trail,0.1911387075718006,17
long,2015-04-23 00:00:00+00:00,2015-04-24 00:00:00+00:00,4492.5,4383.3,109.19999999999982,2015-05-06 00:00:00+00:00,4383.3,SL/Trail,-1.012342032967033,8
long,2015-05-27 00:00:00+00:00,2015-05-28 00:00:00+00:00,4540.5,4422.975,117.52499999999964,2015-06-08 00:00:00+00:00,4422.975,SL/Trail,-1.0115902999361839,7
long,2015-07-16 00:00:00+00:00,2015-07-17 00:00:00+00:00,4609.75,4480.225,129.52499999999964,2015-08-12 00:00:00+00:00,4480.225,SL/Trail,-1.0106768963520556,18
long,2015-10-16 00:00:00+00:00,2015-10-19 00:00:00+00:00,4434.5,4528.75,171.75,2015-11-12 00:00:00+00:00,4585.25,Donchian exit,0.8699834061135372,18
long,2016-03-01 00:00:00+00:00,2016-03-02 00:00:00+00:00,4334.5,4377.2375,213.27499999999964,2016-04-27 00:00:00+00:00,4377.2375,SL/Trail,0.19428976673309228,39
long,2016-05-25 00:00:00+00:00,2016-05-26 00:00:00+00:00,4473.5,4364.2125,130.85000000000036,2016-06-13 00:00:00+00:00,4426.25,Donchian exit,-0.3713568972105454,11
long,2016-07-11 00:00:00+00:00,2016-07-12 00:00:00+00:00,4552.75,4724.0875,146.69999999999982,2016-09-09 00:00:00+00:00,4724.0875,SL/Trail,1.1586344580777084,42
long,2016-09-21 00:00:00+00:00,2016-09-22 00:00:00+00:00,4849.0,4735.775,113.22500000000036,2016-10-13 00:00:00+00:00,4796.0,Donchian exit,-0.48094237138441004,14
long,2016-10-24 00:00:00+00:00,2016-10-25 00:00:00+00:00,4906.25,4804.9,101.35000000000036,2016-10-27 00:00:00+00:00,4804.9,SL/Trail,-1.014522693635915,2
long,2016-12-13 00:00:00+00:00,2016-12-14 00:00:00+00:00,4939.5,4820.75,118.75,2016-12-30 00:00:00+00:00,4864.0,Donchian exit,-0.6482682105263158,11
long,2017-01-06 00:00:00+00:00,2017-01-09 00:00:00+00:00,5004.5,5608.225,95.47500000000036,2017-05-17 00:00:00+00:00,5608.225,SL/Trail,6.307658025661148,89
long,2017-05-24 00:00:00+00:00,2017-05-25 00:00:00+00:00,5731.5,5744.475,90.42500000000018,2017-06-09 00:00:00+00:00,5744.475,SL/Trail,0.12447387337572952,10
long,2017-07-17 00:00:00+00:00,2017-07-18 00:00:00+00:00,5858.25,5764.8375,161.75,2017-08-10 00:00:00+00:00,5789.75,Donchian exit,-0.4343584234930448,17
long,2017-08-31 00:00:00+00:00,2017-09-01 00:00:00+00:00,5994.0,5849.4,144.60000000000036,2017-09-25 00:00:00+00:00,5849.4,SL/Trail,-1.0124356846473028,15
long,2017-10-05 00:00:00+00:00,2017-10-06 00:00:00+00:00,6062.25,6262.0375,103.27499999999964,2017-12-01 00:00:00+00:00,6262.0375,SL/Trail,1.9169094650205862,39
long,2017-12-15 00:00:00+00:00,2017-12-18 00:00:00+00:00,6498.0,6805.925,138.64999999999964,2018-02-02 00:00:00+00:00,6805.925,SL/Trail,2.2068200504868445,31
long,2018-03-09 00:00:00+00:00,2018-03-12 00:00:00+00:00,7099.25,6812.8,286.4499999999998,2018-03-22 00:00:00+00:00,6812.8,SL/Trail,-1.007435067201955,8
long,2018-05-09 00:00:00+00:00,2018-05-10 00:00:00+00:00,6896.0,7052.025,255.42500000000018,2018-06-25 00:00:00+00:00,7052.025,SL/Trail,0.6027452285406657,31
long,2018-07-12 00:00:00+00:00,2018-07-13 00:00:00+00:00,7382.0,7155.2125,228.19999999999982,2018-07-30 00:00:00+00:00,7200.5,Donchian exit,-0.8050595968448736,11
long,2018-08-27 00:00:00+00:00,2018-08-28 00:00:00+00:00,7568.25,7439.925,163.14999999999964,2018-09-06 00:00:00+00:00,7439.925,SL/Trail,-0.8004626110940859,6
long,2019-01-18 00:00:00+00:00,2019-01-22 00:00:00+00:00,6794.5,7629.4625,359.3249999999998,2019-05-07 00:00:00+00:00,7629.4625,SL/Trail,2.318024490363877,73
long,2019-06-18 00:00:00+00:00,2019-06-19 00:00:00+00:00,7641.0,7745.425,239.92500000000018,2019-08-02 00:00:00+00:00,7745.425,SL/Trail,0.42568594352401834,31
long,2019-09-05 00:00:00+00:00,2019-09-06 00:00:00+00:00,7853.5,7521.40498046875,340.1999999999998,2019-09-24 00:00:00+00:00,7735.25,Donchian exit,-0.35451513815402724,12
long,2019-10-15 00:00:00+00:00,2019-10-16 00:00:00+00:00,7960.0,8230.5375,281.572998046875,2019-12-03 00:00:00+00:00,8230.5375,SL/Trail,0.9523267566848156,33
long,2019-12-12 00:00:00+00:00,2019-12-13 00:00:00+00:00,8485.0,8937.45,180.0,2020-01-27 00:00:00+00:00,8937.45,SL/Trail,2.4994694444444483,28
long,2020-02-04 00:00:00+00:00,2020-02-05 00:00:00+00:00,9357.0,9273.6,288.60000000000036,2020-02-24 00:00:00+00:00,9273.6,SL/Trail,-0.29870790020789856,12
long,2020-04-13 00:00:00+00:00,2020-04-14 00:00:00+00:00,8337.0,9460.5125,935.7729980468748,2020-06-15 00:00:00+00:00,9460.5125,SL/Trail,1.1979522836625458,43
long,2020-06-23 00:00:00+00:00,2020-06-24 00:00:00+00:00,10183.0,11785.1375,474.2000000000007,2020-09-03 00:00:00+00:00,11785.1375,SL/Trail,3.37216912695065,50
long,2020-10-09 00:00:00+00:00,2020-10-12 00:00:00+00:00,11722.75,11179.341064453125,591.8059570312507,2020-10-26 00:00:00+00:00,11492.25,Donchian exit,-0.3954283025029479,10
long,2020-12-01 00:00:00+00:00,2020-12-02 00:00:00+00:00,12456.25,12826.75,524.1499999999996,2021-02-01 00:00:00+00:00,12826.75,SL/Trail,0.6997293236668897,40
long,2021-02-08 00:00:00+00:00,2021-02-09 00:00:00+00:00,13683.5,13140.825,542.6749999999993,2021-02-22 00:00:00+00:00,13224.25,Donchian exit,-0.8538352605150423,8
long,2021-04-01 00:00:00+00:00,2021-04-05 00:00:00+00:00,13339.0,13388.1,647.5499999999993,2021-05-04 00:00:00+00:00,13388.1,SL/Trail,0.06964450621573688,21
long,2021-06-10 00:00:00+00:00,2021-06-11 00:00:00+00:00,13975.5,14619.725,426.47500000000036,2021-08-18 00:00:00+00:00,14849.25,Donchian exit,2.038940969576175,47
long,2021-08-23 00:00:00+00:00,2021-08-24 00:00:00+00:00,15327.0,15179.375,380.77499999999964,2021-09-20 00:00:00+00:00,15179.375,SL/Trail,-0.3997717812356382,18
long,2021-10-21 00:00:00+00:00,2021-10-22 00:00:00+00:00,15383.0,15984.7125,502.47500000000036,2021-12-01 00:00:00+00:00,15984.7125,SL/Trail,1.188313050400516,27
long,2021-12-27 00:00:00+00:00,2021-12-28 00:00:00+00:00,16565.75,15807.65,758.1000000000004,2022-01-05 00:00:00+00:00,15807.65,SL/Trail,-1.0065555005935893,6
long,2022-03-22 00:00:00+00:00,2022-03-23 00:00:00+00:00,14654.0,14017.583935546874,977.4690429687507,2022-04-11 00:00:00+00:00,14017.583935546874,SL/Trail,-0.65558318093314,13
long,2022-07-19 00:00:00+00:00,2022-07-20 00:00:00+00:00,12330.5,12724.8375,704.2110351562496,2022-08-22 00:00:00+00:00,12909.75,Donchian exit,0.8172988227489184,23
long,2022-11-11 00:00:00+00:00,2022-11-14 00:00:00+00:00,11791.0,11007.275,783.7250000000004,2022-11-29 00:00:00+00:00,11524.75,Donchian exit,-0.34423720054866164,10
long,2023-01-23 00:00:00+00:00,2023-01-24 00:00:00+00:00,11933.0,11968.275,549.3250000000007,2023-02-21 00:00:00+00:00,12096.75,Donchian exit,0.2915762071633365,19
long,2023-03-20 00:00:00+00:00,2023-03-21 00:00:00+00:00,12699.75,12506.45,520.8999999999996,2023-04-25 00:00:00+00:00,12809.5,Donchian exit,0.2033789114993282,24
long,2023-05-10 00:00:00+00:00,2023-05-11 00:00:00+00:00,13410.0,15297.9125,403.7999999999993,2023-08-02 00:00:00+00:00,15473.0,Donchian exit,5.0990019811788105,56
long,2023-11-10 00:00:00+00:00,2023-11-13 00:00:00+00:00,15586.25,16466.9345703125,530.2749999999996,2024-01-03 00:00:00+00:00,16538.0,Donchian exit,1.7860056102965454,35
long,2024-01-19 00:00:00+00:00,2024-01-22 00:00:00+00:00,17466.0,17762.2375,467.4500000000007,2024-04-04 00:00:00+00:00,18076.75,Donchian exit,1.2953475237993348,51
long,2024-05-14 00:00:00+00:00,2024-05-15 00:00:00+00:00,18409.75,20144.9875,584.5499999999993,2024-07-17 00:00:00+00:00,20144.9875,SL/Trail,2.959053246086736,42
long,2024-09-23 00:00:00+00:00,2024-09-24 00:00:00+00:00,20063.25,19846.4125,768.5740234375007,2024-10-31 00:00:00+00:00,20021.75,Donchian exit,-0.06182745389633139,27
long,2024-11-06 00:00:00+00:00,2024-11-07 00:00:00+00:00,20923.5,21261.175,609.7750000000015,2024-12-18 00:00:00+00:00,21261.175,SL/Trail,0.5434757902504997,28
long,2025-02-13 00:00:00+00:00,2025-02-14 00:00:00+00:00,22071.0,21246.175,824.8250000000007,2025-02-25 00:00:00+00:00,21246.175,SL/Trail,-1.0080275209893008,6
long,2025-05-02 00:00:00+00:00,2025-05-05 00:00:00+00:00,20181.5,22816.85,1738.0250000000015,2025-08-01 00:00:00+00:00,22816.85,SL/Trail,1.5128065188935695,62
long,2025-08-12 00:00:00+00:00,2025-08-13 00:00:00+00:00,23945.0,23343.825,601.1749999999993,2025-08-20 00:00:00+00:00,23343.825,SL/Trail,-1.0119490996797937,5
long,2025-09-12 00:00:00+00:00,2025-09-15 00:00:00+00:00,24115.25,24522.735546875,599.5250000000015,2025-10-10 00:00:00+00:00,24522.735546875,SL/Trail,0.6676134804636976,19
long,2025-10-24 00:00:00+00:00,2025-10-27 00:00:00+00:00,25723.5,24982.625,825.7999999999993,2025-11-07 00:00:00+00:00,24982.625,SL/Trail,-0.9065052676192791,9
long,2025-12-24 00:00:00+00:00,2025-12-26 00:00:00+00:00,25868.0,25170.47890625,697.5210937500015,2026-01-20 00:00:00+00:00,25170.47890625,SL/Trail,-1.011125685043127,15
long,2026-01-27 00:00:00+00:00,2026-01-28 00:00:00+00:00,26111.25,25389.0,722.25,2026-02-02 00:00:00+00:00,25389.0,SL/Trail,-1.0108457943925233,3
long,2026-04-10 00:00:00+00:00,2026-04-13 00:00:00+00:00,24980.0,29187.55,1091.9000000000015,2026-06-05 00:00:00+00:00,29187.55,SL/Trail,3.8465573770491748,38
