direction,signal_time,entry_time,entry,sl,tp,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2021-09-10 00:00:00+00:00,2021-09-13 00:00:00+00:00,15452.5,15159.25,18385.0,293.25,2021-09-15 00:00:00+00:00,15504.0,RSI exit,0.15980988917306055,2
long,2021-09-20 00:00:00+00:00,2021-09-21 00:00:00+00:00,14992.0,14607.047154017857,18841.528459821428,384.9528459821431,2021-09-23 00:00:00+00:00,15303.5,RSI exit,0.7975065081457821,2
long,2021-09-30 00:00:00+00:00,2021-10-01 00:00:00+00:00,14702.25,14193.618582589286,19788.564174107145,508.63141741071377,2021-10-06 00:00:00+00:00,14759.0,RSI exit,0.10290226519321873,3
long,2022-01-07 00:00:00+00:00,2022-01-10 00:00:00+00:00,15590.0,15014.285714285714,21347.142857142855,575.7142857142862,2022-01-11 00:00:00+00:00,15831.0,RSI exit,0.41048660049627755,1
long,2023-04-25 00:00:00+00:00,2023-04-26 00:00:00+00:00,12940.0,12528.392857142857,17056.071428571428,411.6071428571431,2023-04-27 00:00:00+00:00,13231.25,RSI exit,0.6981608676789584,1
long,2023-08-04 00:00:00+00:00,2023-08-07 00:00:00+00:00,15370.5,14867.32142857143,20402.285714285714,503.17857142857065,2023-08-17 00:00:00+00:00,14867.32142857143,SL,-1.0091640428703244,8
long,2023-09-20 00:00:00+00:00,2023-09-21 00:00:00+00:00,15133.25,14748.035714285714,18985.39285714286,385.21428571428623,2023-09-26 00:00:00+00:00,14748.035714285714,SL,-1.01178558316336,3
long,2023-10-20 00:00:00+00:00,2023-10-23 00:00:00+00:00,14680.0,14108.142857142857,20398.571428571428,571.8571428571431,2023-10-31 00:00:00+00:00,14490.25,RSI exit,-0.3395148638521107,6
long,2024-01-02 00:00:00+00:00,2024-01-03 00:00:00+00:00,16736.75,16317.711495535714,20927.135044642855,419.03850446428623,2024-01-08 00:00:00+00:00,16803.75,RSI exit,0.14790758925420502,3
long,2024-04-18 00:00:00+00:00,2024-04-19 00:00:00+00:00,17530.75,16881.785714285714,24020.392857142855,648.9642857142862,2024-04-23 00:00:00+00:00,17606.75,RSI exit,0.10900565186285832,2
long,2024-07-18 00:00:00+00:00,2024-07-19 00:00:00+00:00,19955.0,19305.071428571428,26454.285714285714,649.9285714285725,2024-07-24 00:00:00+00:00,19305.071428571428,SL,-1.0092110121991427,3
long,2024-09-06 00:00:00+00:00,2024-09-09 00:00:00+00:00,18400.0,17622.35714285714,26176.428571428572,777.6428571428587,2024-09-11 00:00:00+00:00,19271.0,RSI exit,1.1129530632864861,2
long,2024-11-15 00:00:00+00:00,2024-11-18 00:00:00+00:00,20504.0,19837.60714285714,27167.928571428572,666.3928571428587,2024-11-21 00:00:00+00:00,20829.5,RSI exit,0.4792200225092438,3
long,2025-01-13 00:00:00+00:00,2025-01-14 00:00:00+00:00,21020.0,20179.31863839286,29426.813616071428,840.6813616071413,2025-01-15 00:00:00+00:00,21400.25,RSI exit,0.44481062276095484,1
long,2025-02-21 00:00:00+00:00,2025-02-24 00:00:00+00:00,21700.75,20996.60714285714,28742.178571428572,704.1428571428587,2025-02-25 00:00:00+00:00,20996.60714285714,SL,-1.0092456025562995,1
long,2025-02-27 00:00:00+00:00,2025-02-28 00:00:00+00:00,20649.5,19890.035714285714,28244.142857142855,759.4642857142862,2025-03-07 00:00:00+00:00,19890.035714285714,SL,-1.0081568680931108,5
long,2025-08-01 00:00:00+00:00,2025-08-04 00:00:00+00:00,22850.0,22307.10714285714,28278.928571428572,542.8928571428587,2025-08-06 00:00:00+00:00,23422.75,RSI exit,1.0423695809486189,2
long,2025-08-19 00:00:00+00:00,2025-08-20 00:00:00+00:00,23461.0,22777.714285714286,30293.857142857145,683.2857142857138,2025-08-22 00:00:00+00:00,23569.75,RSI exit,0.14885676353752886,2
long,2025-11-17 00:00:00+00:00,2025-11-18 00:00:00+00:00,24905.5,23873.928571428572,35221.21428571429,1031.5714285714275,2025-11-24 00:00:00+00:00,24948.25,RSI exit,0.03419864977149983,4
long,2025-12-15 00:00:00+00:00,2025-12-16 00:00:00+00:00,25101.25,24409.821428571428,32015.535714285714,691.4285714285725,2025-12-22 00:00:00+00:00,25692.25,RSI exit,0.8438610278925607,4
long,2026-01-02 00:00:00+00:00,2026-01-05 00:00:00+00:00,25431.75,24723.327008928572,32515.979910714286,708.4229910714275,2026-01-06 00:00:00+00:00,25822.0,RSI exit,0.5401017186375051,1
long,2026-01-20 00:00:00+00:00,2026-01-21 00:00:00+00:00,25149.5,24446.178571428572,32182.714285714286,703.3214285714275,2026-01-22 00:00:00+00:00,25658.25,RSI exit,0.7126260193977566,1
long,2026-02-05 00:00:00+00:00,2026-02-06 00:00:00+00:00,24416.0,23332.535714285714,35250.642857142855,1083.4642857142862,2026-02-09 00:00:00+00:00,25354.0,RSI exit,0.8589809671358403,1
long,2026-06-05 00:00:00+00:00,2026-06-08 00:00:00+00:00,28844.5,27728.35714285714,40005.92857142857,1116.1428571428587,2026-06-12 00:00:00+00:00,29662.0,RSI exit,0.7246802188659915,4
long,2026-07-28 00:00:00+00:00,2026-07-29 00:00:00+00:00,27962.0,26699.928571428572,40582.71428571429,1262.0714285714275,2026-07-31 00:00:00+00:00,28404.25,RSI exit,0.3437692908483788,2
long,2026-08-20 00:00:00+00:00,2026-08-21 00:00:00+00:00,29327.0,28372.035714285714,38876.642857142855,954.9642857142862,2026-08-27 00:00:00+00:00,29695.75,RSI exit,0.37692708029470046,4
