direction,signal_time,entry_time,entry,sl,tp,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2021-09-21 00:00:00+00:00,2021-09-22 00:00:00+00:00,109.15399932861328,108.07228415352958,109.8828498840332,1.0817151750837013,2021-09-23 00:00:00+00:00,109.8828498840332,BB mid TP,0.6586553206721006,1
short,2021-09-27 00:00:00+00:00,2021-09-28 00:00:00+00:00,110.96199798583984,112.29685538155692,109.90494995117187,1.33485739571708,2021-10-11 00:00:00+00:00,112.29685538155692,SL,-1.012468972154838,9
short,2021-11-24 00:00:00+00:00,2021-11-25 00:00:00+00:00,115.41400146484375,117.01499720982143,114.03689994812012,1.6009957449776806,2021-11-26 00:00:00+00:00,114.03689994812012,BB mid TP,0.8493398066606712,1
short,2021-12-24 00:00:00+00:00,2021-12-27 00:00:00+00:00,114.33799743652344,115.41928318568638,113.61280097961426,1.0812857491629444,2022-01-04 00:00:00+00:00,115.41928318568638,SL,-1.0158613942972572,6
short,2022-02-11 00:00:00+00:00,2022-02-14 00:00:00+00:00,115.55899810791016,117.02356828962054,114.77200012207031,1.4645701817103856,2022-02-22 00:00:00+00:00,114.77200012207031,BB mid TP,0.5255221946583771,6
short,2022-03-11 00:00:00+00:00,2022-03-14 00:00:00+00:00,117.50399780273438,119.09399741036552,115.33824996948242,1.5899996076311425,2022-03-18 00:00:00+00:00,119.09399741036552,SL,-1.0110852855471264,4
long,2022-08-01 00:00:00+00:00,2022-08-02 00:00:00+00:00,131.57200622558594,128.24971880231584,136.7052490234375,3.3222874232700974,2022-08-19 00:00:00+00:00,136.7052490234375,BB mid TP,1.539152501105559,13
short,2022-10-13 00:00:00+00:00,2022-10-14 00:00:00+00:00,147.29299926757812,149.39828055245536,144.37069931030274,2.105281284877236,2022-10-19 00:00:00+00:00,149.39828055245536,SL,-1.0104945358365378,3
long,2022-11-11 00:00:00+00:00,2022-11-14 00:00:00+00:00,139.55299377441406,134.46256147112166,147.56774826049804,5.090432303292403,2022-12-02 00:00:00+00:00,134.46256147112166,SL,-1.004112214409103,14
short,2023-02-16 00:00:00+00:00,2023-02-17 00:00:00+00:00,134.07400512695312,137.7212873186384,130.73850021362304,3.647282191685264,2023-03-08 00:00:00+00:00,137.7212873186384,SL,-1.0055139963710213,13
long,2023-03-20 00:00:00+00:00,2023-03-21 00:00:00+00:00,131.39199829101562,127.37370954241071,135.23870086669922,4.018288748604917,2023-04-28 00:00:00+00:00,135.23870086669922,BB mid TP,0.9523939207376797,28
short,2023-05-01 00:00:00+00:00,2023-05-02 00:00:00+00:00,137.52099609375,140.46428571428572,133.3833999633789,2.9432896205357224,2023-05-26 00:00:00+00:00,140.46428571428572,SL,-1.0070085353714895,18
short,2023-09-06 00:00:00+00:00,2023-09-07 00:00:00+00:00,147.70899963378906,150.2624250139509,145.75810165405272,2.5534253801618263,2023-10-26 00:00:00+00:00,150.2624250139509,SL,-1.0086771088425792,35
short,2023-11-01 00:00:00+00:00,2023-11-02 00:00:00+00:00,150.5749969482422,152.24356951032365,149.54610061645508,1.668572562081465,2023-11-03 00:00:00+00:00,149.54610061645508,BB mid TP,0.6030963861646801,1
short,2023-11-10 00:00:00+00:00,2023-11-13 00:00:00+00:00,151.468994140625,153.8267081124442,150.08355026245118,2.3577139718192086,2023-11-17 00:00:00+00:00,150.08355026245118,BB mid TP,0.5779850929081306,4
long,2023-11-21 00:00:00+00:00,2023-11-22 00:00:00+00:00,148.15199279785156,145.40899658203125,150.3699493408203,2.7429962158203125,2023-12-07 00:00:00+00:00,145.40899658203125,SL,-1.00810165132256,11
short,2024-02-14 00:00:00+00:00,2024-02-15 00:00:00+00:00,150.54400634765625,153.2254355294364,148.20490188598632,2.681429181780146,2024-03-07 00:00:00+00:00,148.20490188598632,BB mid TP,0.8639134967494806,15
long,2024-03-08 00:00:00+00:00,2024-03-11 00:00:00+00:00,146.7740020751953,144.78428431919642,150.04954986572267,1.989717755998896,2024-03-19 00:00:00+00:00,150.04954986572267,BB mid TP,1.6351724662489673,6
short,2024-06-21 00:00:00+00:00,2024-06-24 00:00:00+00:00,159.86099243164062,162.34956577845983,157.02279891967774,2.4885733468192086,2024-07-17 00:00:00+00:00,157.02279891967774,BB mid TP,1.1308544980983386,17
short,2024-12-20 00:00:00+00:00,2024-12-23 00:00:00+00:00,156.5330047607422,160.0048610142299,152.26875076293945,3.471856253487715,2024-12-25 00:00:00+00:00,152.26875076293945,BB mid TP,1.2214716674483523,2
long,2025-04-04 00:00:00+00:00,2025-04-07 00:00:00+00:00,145.43299865722656,142.0848606654576,148.9299514770508,3.348137991768965,2025-04-16 00:00:00+00:00,142.0848606654576,SL,-1.0065155468060796,7
short,2025-05-13 00:00:00+00:00,2025-05-14 00:00:00+00:00,147.5279998779297,151.47528076171875,143.68824996948243,3.9472808837890625,2025-05-21 00:00:00+00:00,143.68824996948243,BB mid TP,0.967152027144562,5
short,2025-07-09 00:00:00+00:00,2025-07-10 00:00:00+00:00,146.11399841308594,149.08342633928572,144.7819511413574,2.969427926199785,2025-07-16 00:00:00+00:00,149.08342633928572,SL,-1.0073809165626093,4
short,2025-09-26 00:00:00+00:00,2025-09-29 00:00:00+00:00,149.40499877929688,151.7217080252511,147.75535049438477,2.316709245954229,2025-09-30 00:00:00+00:00,147.75535049438477,BB mid TP,0.7023917817641232,1
short,2025-10-07 00:00:00+00:00,2025-10-08 00:00:00+00:00,152.05099487304688,155.0824214390346,148.02409973144532,3.031426565987715,2025-11-17 00:00:00+00:00,155.0824214390346,SL,-1.0075237346953598,28
short,2025-12-22 00:00:00+00:00,2025-12-23 00:00:00+00:00,156.91099548339844,159.53513663155692,155.85249786376954,2.624141148158486,2025-12-24 00:00:00+00:00,155.85249786376954,BB mid TP,0.39439988623808514,1
short,2026-01-12 00:00:00+00:00,2026-01-13 00:00:00+00:00,157.99600219726562,160.08014787946428,156.3411491394043,2.0841456821986526,2026-01-26 00:00:00+00:00,156.3411491394043,BB mid TP,0.7826485794462097,9
long,2026-01-27 00:00:00+00:00,2026-01-28 00:00:00+00:00,152.5189971923828,149.58442905970983,157.28539962768554,2.934568132672979,2026-02-05 00:00:00+00:00,157.28539962768554,BB mid TP,1.6164302109432305,6
short,2026-04-30 00:00:00+00:00,2026-05-01 00:00:00+00:00,156.99400329589844,159.24443708147322,159.31980056762694,2.250433785574785,2026-05-04 00:00:00+00:00,159.31980056762694,BB mid TP,-1.0439526758272697,1
long,2026-05-07 00:00:00+00:00,2026-05-08 00:00:00+00:00,156.83799743652344,153.68570600237166,158.76435012817382,3.1522914341517776,2026-05-18 00:00:00+00:00,158.76435012817382,BB mid TP,0.6036329545611685,6
short,2026-06-19 00:00:00+00:00,2026-06-22 00:00:00+00:00,161.43299865722656,162.36956569126673,159.94510040283203,0.9365670340401664,2026-06-30 00:00:00+00:00,162.36956569126673,SL,-1.0258550097520787,6
short,2026-07-22 00:00:00+00:00,2026-07-23 00:00:00+00:00,163.0679931640625,164.50170680454798,162.19130172729493,1.433713640485479,2026-07-30 00:00:00+00:00,162.19130172729493,BB mid TP,0.5944222149580607,5
