direction,signal_time,entry_time,entry,sl,tp,orig_risk,exit_time,exit,reason,r_multiple,bars_held
long,2021-09-21 00:00:00+00:00,2021-09-22 00:00:00+00:00,109.15399932861328,108.07228415352958,109.8828498840332,1.0817151750837013,2021-09-23 00:00:00+00:00,109.8828498840332,BB mid TP,0.6586553206721006,1
short,2021-09-27 00:00:00+00:00,2021-09-28 00:00:00+00:00,110.96199798583984,112.29685538155692,109.90494995117187,1.33485739571708,2021-10-11 00:00:00+00:00,112.29685538155692,SL,-1.012468972154838,9
short,2021-10-12 00:00:00+00:00,2021-10-13 00:00:00+00:00,113.53600311279297,115.3338601248605,110.81469955444337,1.7978570120675244,2021-11-24 00:00:00+00:00,115.3338601248605,SL,-1.0094726111991155,30
short,2021-11-25 00:00:00+00:00,2021-11-26 00:00:00+00:00,115.10199737548828,116.65342167445591,114.11849975585938,1.551424298967632,2021-11-29 00:00:00+00:00,114.11849975585938,BB mid TP,0.6228033947035285,1
short,2021-12-24 00:00:00+00:00,2021-12-27 00:00:00+00:00,114.33799743652344,115.41928318568638,113.61280097961426,1.0812857491629444,2022-01-04 00:00:00+00:00,115.41928318568638,SL,-1.0158613942972572,6
short,2022-01-05 00:00:00+00:00,2022-01-06 00:00:00+00:00,116.12899780273438,117.30313873291016,114.30290069580079,1.1741409301757812,2022-01-13 00:00:00+00:00,114.30290069580079,BB mid TP,1.540426460554782,5
short,2022-02-11 00:00:00+00:00,2022-02-14 00:00:00+00:00,115.55899810791016,117.02356828962054,114.77200012207031,1.4645701817103856,2022-02-22 00:00:00+00:00,114.77200012207031,BB mid TP,0.5255221946583771,6
short,2022-03-11 00:00:00+00:00,2022-03-14 00:00:00+00:00,117.50399780273438,119.09399741036552,115.33824996948242,1.5899996076311425,2022-03-18 00:00:00+00:00,119.09399741036552,SL,-1.0110852855471264,4
short,2022-03-23 00:00:00+00:00,2022-03-24 00:00:00+00:00,121.13800048828125,123.0780007498605,116.83414993286132,1.940000261579243,2022-03-28 00:00:00+00:00,123.0780007498605,SL,-1.0093663389810321,2
short,2022-03-29 00:00:00+00:00,2022-03-30 00:00:00+00:00,123.125,125.70571463448661,118.24769973754883,2.580714634486611,2022-04-11 00:00:00+00:00,125.70571463448661,SL,-1.0071564479672406,8
short,2022-04-20 00:00:00+00:00,2022-04-21 00:00:00+00:00,128.01300048828125,130.50214276994978,124.15384941101074,2.489142281668535,2022-04-28 00:00:00+00:00,130.50214276994978,SL,-1.0077142838377124,5
short,2022-04-29 00:00:00+00:00,2022-05-02 00:00:00+00:00,130.01100158691406,133.27828325544084,126.30064964294434,3.2672816685267776,2022-06-08 00:00:00+00:00,133.27828325544084,SL,-1.0059687692144492,27
short,2022-06-09 00:00:00+00:00,2022-06-10 00:00:00+00:00,134.41799926757812,137.37628500802177,129.14314880371094,2.9582857404436425,2022-07-11 00:00:00+00:00,137.37628500802177,SL,-1.006815670174955,21
short,2022-07-15 00:00:00+00:00,2022-07-18 00:00:00+00:00,138.31399536132812,141.04428100585938,136.08539886474608,2.73028564453125,2022-07-22 00:00:00+00:00,136.08539886474608,BB mid TP,0.8086514323877269,4
long,2022-08-01 00:00:00+00:00,2022-08-02 00:00:00+00:00,131.57200622558594,128.24971880231584,136.7052490234375,3.3222874232700974,2022-08-19 00:00:00+00:00,136.7052490234375,BB mid TP,1.539152501105559,13
short,2022-09-07 00:00:00+00:00,2022-09-08 00:00:00+00:00,144.1280059814453,147.64000592912947,137.0264991760254,3.51199994768416,2022-10-14 00:00:00+00:00,147.64000592912947,SL,-1.006155809003207,26
short,2022-10-17 00:00:00+00:00,2022-10-18 00:00:00+00:00,148.9709930419922,151.05013384137834,144.86044921875,2.0791407993861526,2022-10-21 00:00:00+00:00,151.05013384137834,SL,-1.0107475400236945,3
long,2022-11-11 00:00:00+00:00,2022-11-14 00:00:00+00:00,139.55299377441406,134.46256147112166,147.56774826049804,5.090432303292403,2022-12-02 00:00:00+00:00,134.46256147112166,SL,-1.004112214409103,14
long,2022-12-21 00:00:00+00:00,2022-12-22 00:00:00+00:00,132.3699951171875,126.84414454868862,136.8218994140625,5.525850568498882,2023-02-28 00:00:00+00:00,136.8218994140625,BB mid TP,0.8020573018881697,48
long,2023-03-20 00:00:00+00:00,2023-03-21 00:00:00+00:00,131.39199829101562,127.37370954241071,135.23870086669922,4.018288748604917,2023-04-28 00:00:00+00:00,135.23870086669922,BB mid TP,0.9523939207376797,28
short,2023-05-01 00:00:00+00:00,2023-05-02 00:00:00+00:00,137.52099609375,140.46428571428572,133.3833999633789,2.9432896205357224,2023-05-26 00:00:00+00:00,140.46428571428572,SL,-1.0070085353714895,18
short,2023-05-29 00:00:00+00:00,2023-05-30 00:00:00+00:00,140.4409942626953,143.12342180524553,136.8259506225586,2.682427542550215,2023-06-23 00:00:00+00:00,143.12342180524553,SL,-1.0078533898139803,18
short,2023-06-26 00:00:00+00:00,2023-06-27 00:00:00+00:00,143.4600067138672,145.9964316231864,140.43000183105468,2.5364249093192086,2023-07-11 00:00:00+00:00,140.43000183105468,BB mid TP,1.1861127332221797,10
long,2023-07-13 00:00:00+00:00,2023-07-14 00:00:00+00:00,138.0749969482422,135.2788543701172,142.69530181884767,2.796142578125,2023-08-01 00:00:00+00:00,142.69530181884767,BB mid TP,1.6449782128590802,12
short,2023-09-06 00:00:00+00:00,2023-09-07 00:00:00+00:00,147.70899963378906,150.2624250139509,145.75810165405272,2.5534253801618263,2023-10-26 00:00:00+00:00,150.2624250139509,SL,-1.0086771088425792,35
short,2023-11-01 00:00:00+00:00,2023-11-02 00:00:00+00:00,150.5749969482422,152.24356951032365,149.54610061645508,1.668572562081465,2023-11-03 00:00:00+00:00,149.54610061645508,BB mid TP,0.6030963861646801,1
short,2023-11-10 00:00:00+00:00,2023-11-13 00:00:00+00:00,151.468994140625,153.8267081124442,150.08355026245118,2.3577139718192086,2023-11-17 00:00:00+00:00,150.08355026245118,BB mid TP,0.5779850929081306,4
long,2023-11-21 00:00:00+00:00,2023-11-22 00:00:00+00:00,148.15199279785156,145.40899658203125,150.3699493408203,2.7429962158203125,2023-12-07 00:00:00+00:00,145.40899658203125,SL,-1.00810165132256,11
long,2023-12-08 00:00:00+00:00,2023-12-11 00:00:00+00:00,144.98300170898438,141.31314304896765,148.6780990600586,3.669858660016729,2023-12-14 00:00:00+00:00,141.31314304896765,SL,-1.0059259639869205,3
long,2023-12-15 00:00:00+00:00,2023-12-18 00:00:00+00:00,142.31300354003906,138.2570059640067,146.97210006713868,4.055997576032354,2024-01-16 00:00:00+00:00,146.97210006713868,BB mid TP,1.1434300661257644,21
short,2024-01-17 00:00:00+00:00,2024-01-18 00:00:00+00:00,148.1179962158203,151.52627999441964,143.4897491455078,3.4082837785993263,2024-03-20 00:00:00+00:00,151.52627999441964,SL,-1.0065187351980132,44
short,2024-04-16 00:00:00+00:00,2024-04-17 00:00:00+00:00,154.697998046875,156.1931435721261,151.83549880981445,1.495145525251104,2024-04-26 00:00:00+00:00,156.1931435721261,SL,-1.0155200275258385,7
short,2024-04-29 00:00:00+00:00,2024-04-30 00:00:00+00:00,156.31399536132812,158.91528102329798,153.59379959106445,2.601285661969854,2024-05-02 00:00:00+00:00,153.59379959106445,BB mid TP,1.0366983950994941,2
short,2024-06-21 00:00:00+00:00,2024-06-24 00:00:00+00:00,159.86099243164062,162.34956577845983,157.02279891967774,2.4885733468192086,2024-07-17 00:00:00+00:00,157.02279891967774,BB mid TP,1.1308544980983386,17
long,2024-07-18 00:00:00+00:00,2024-07-19 00:00:00+00:00,157.14999389648438,153.90870666503906,159.97490005493165,3.2412872314453125,2024-07-24 00:00:00+00:00,153.90870666503906,SL,-1.0072725733331451,3
long,2024-07-25 00:00:00+00:00,2024-07-26 00:00:00+00:00,153.69700622558594,149.3250013078962,159.09175033569335,4.372004917689736,2024-08-01 00:00:00+00:00,149.3250013078962,SL,-1.0052732216380993,4
long,2024-08-02 00:00:00+00:00,2024-08-05 00:00:00+00:00,145.58399963378906,140.63556562151228,156.37650146484376,4.948434012276778,2024-09-13 00:00:00+00:00,140.63556562151228,SL,-1.004413032464592,29
long,2024-09-16 00:00:00+00:00,2024-09-17 00:00:00+00:00,140.7899932861328,137.05027988978796,144.15644912719728,3.739713396344854,2024-09-20 00:00:00+00:00,144.15644912719728,BB mid TP,0.8945437758255039,3
short,2024-10-03 00:00:00+00:00,2024-10-04 00:00:00+00:00,146.83999633789062,151.32528250558036,143.08584899902343,4.485286167689736,2024-10-23 00:00:00+00:00,151.32528250558036,SL,-1.004910723335637,13
short,2024-11-14 00:00:00+00:00,2024-11-15 00:00:00+00:00,156.46800231933594,159.80357142857142,152.5275001525879,3.335569109235479,2024-11-27 00:00:00+00:00,152.5275001525879,BB mid TP,1.174321933715815,8
long,2024-12-02 00:00:00+00:00,2024-12-03 00:00:00+00:00,149.50799560546875,145.90113394601005,153.5800003051758,3.6068616594587013,2024-12-13 00:00:00+00:00,153.5800003051758,BB mid TP,1.1227429501618191,8
short,2024-12-20 00:00:00+00:00,2024-12-23 00:00:00+00:00,156.5330047607422,160.0048610142299,152.26875076293945,3.471856253487715,2024-12-25 00:00:00+00:00,152.26875076293945,BB mid TP,1.2214716674483523,2
long,2025-01-21 00:00:00+00:00,2025-01-22 00:00:00+00:00,155.7740020751953,153.05743190220423,157.26344833374023,2.7165701729910836,2025-02-05 00:00:00+00:00,153.05743190220423,SL,-1.0086013240311595,10
long,2025-02-06 00:00:00+00:00,2025-02-07 00:00:00+00:00,151.1929931640625,147.9540034702846,155.78710021972657,3.23898969377791,2025-03-06 00:00:00+00:00,147.9540034702846,SL,-1.0070018589494667,19
long,2025-04-04 00:00:00+00:00,2025-04-07 00:00:00+00:00,145.43299865722656,142.0848606654576,148.9299514770508,3.348137991768965,2025-04-16 00:00:00+00:00,142.0848606654576,SL,-1.0065155468060796,7
short,2025-05-13 00:00:00+00:00,2025-05-14 00:00:00+00:00,147.5279998779297,151.47528076171875,143.68824996948243,3.9472808837890625,2025-05-21 00:00:00+00:00,143.68824996948243,BB mid TP,0.967152027144562,5
short,2025-07-09 00:00:00+00:00,2025-07-10 00:00:00+00:00,146.11399841308594,149.08342633928572,144.7819511413574,2.969427926199785,2025-07-16 00:00:00+00:00,149.08342633928572,SL,-1.0073809165626093,4
short,2025-09-26 00:00:00+00:00,2025-09-29 00:00:00+00:00,149.40499877929688,151.7217080252511,147.75535049438477,2.316709245954229,2025-09-30 00:00:00+00:00,147.75535049438477,BB mid TP,0.7023917817641232,1
short,2025-10-07 00:00:00+00:00,2025-10-08 00:00:00+00:00,152.05099487304688,155.0824214390346,148.02409973144532,3.031426565987715,2025-11-17 00:00:00+00:00,155.0824214390346,SL,-1.0075237346953598,28
short,2025-11-20 00:00:00+00:00,2025-11-21 00:00:00+00:00,157.38299560546875,159.6592799595424,153.97335052490234,2.2762843540736526,2026-01-26 00:00:00+00:00,153.97335052490234,BB mid TP,1.4875284035432181,44
long,2026-01-27 00:00:00+00:00,2026-01-28 00:00:00+00:00,152.5189971923828,149.58442905970983,157.28539962768554,2.934568132672979,2026-02-05 00:00:00+00:00,157.28539962768554,BB mid TP,1.6164302109432305,6
